TNS_ID,RA,DEC,ReportDate,Classification,Redshift,TimeReceived,Classifier
2023yhd,21:58:54.809,+27:04:16.70,2023-12-11,SN IIn,0.063,2023-12-10 06:58:49,J. Sollerman
2023yqu,00:34:57.177,+25:42:58.78,2023-12-11,SN Ia,0.067,2023-12-10 07:31:57,C. Fremling
2023ykm,08:48:50.219,+39:39:27.31,2023-12-11,SN Ia,0.085,2023-12-10 09:06:13,C. Fremling
2023yqk,01:21:14.100,+06:26:57.23,2023-12-11,SN Ia,0.06,2023-12-10 14:45:39,A. Sainz de Murieta
2023yrv,03:14:19.366,-09:44:25.09,2023-12-11,SN Ia,0.043,2023-12-10 14:45:39,A. Sainz de Murieta
2023yso,02:50:47.232,-64:46:25.59,2023-12-11,SN II,0.03,2023-12-10 14:45:39,A. Sainz de Murieta
2023yuf,05:15:33.777,-38:46:37.42,2023-12-11,SN Ia,0.077,2023-12-10 14:45:39,A. Sainz de Murieta
2023zbj,02:11:56.390,-20:22:48.07,2023-12-11,SN IIb,0.031,2023-12-10 14:45:39,A. Sainz de Murieta
2023zce,09:26:21.003,-31:13:34.41,2023-12-11,SN Ia,0.031,2023-12-10 14:45:39,A. Sainz de Murieta
2023zbo,01:42:25.254,-16:17:54.80,2023-12-11,SN Ia,0.018,2023-12-10 14:45:39,A. Sainz de Murieta
2023ywj,01:15:17.876,+16:15:14.46,2023-12-11,SN Ia,0.067163,2023-12-10 17:07:04,C. Fremling
2023yqh,01:30:40.530,+02:03:31.43,2023-12-11,SN Ia,0.043,2023-12-10 17:11:32,C. Fremling
