TNS_ID,RA,DEC,ReportDate,Classification,Redshift,TimeReceived,Classifier
2024fgj,05:55:32.261,-15:40:38.02,2024-04-06,SN IIP,0.025,2024-04-05 06:27:31,Dhvanil Desai (on behalf of the SCAT team)
2024epw,13:19:28.884,+47:23:12.42,2024-04-06,SN Ia,0.085,2024-04-05 07:37:38,J. Sollerman
2024fgb,08:29:05.645,+00:51:50.75,2024-04-06,SN IIP,0.027,2024-04-05 07:46:05,Dhvanil Desai (on behalf of the SCAT team)
2024fid,12:24:18.866,+10:26:46.40,2024-04-06,SN Ia-91bg-like,0.06,2024-04-05 10:41:48,Dhvanil Desai (on behalf of the SCAT team)
2024dza,14:44:39.430,-15:10:50.34,2024-04-06,SN Ia,0.04,2024-04-05 11:32:26,J.H. Terwel (TCD)
2022aese,09:43:24.125,+01:12:11.85,2024-04-06,SN Ia,0.07,2024-04-05 11:34:02,J.H. Terwel (TCD)
2024fbm,16:16:03.624,+15:14:20.58,2024-04-06,SN Ia-91T-like,0.048,2024-04-05 12:59:13,Joyce van Dalen
2024fee,13:23:22.308,-26:06:47.35,2024-04-06,SN Iax[02cx-like],0.0314,2024-04-05 12:59:13,Joyce van Dalen
2024fjk,14:49:33.043,+27:57:28.09,2024-04-06,Galaxy,0.0525,2024-04-05 12:59:13,Joyce van Dalen
2024fnq,09:27:45.476,+00:47:09.30,2024-04-06,Galaxy,0.1483,2024-04-05 12:59:13,Joyce van Dalen
2024fpf,14:21:16.695,+22:02:24.31,2024-04-06,SN II,0.0152,2024-04-05 12:59:13,Joyce van Dalen
2024ecb,14:53:33.821,+03:06:40.73,2024-04-06,SN IIb,0.0444,2024-04-05 13:23:29,Jacob Wise (LJMU)
2024ewl,09:33:55.976,+29:58:33.19,2024-04-06,SN Ia,0.1,2024-04-05 23:36:41,J. Johansson
