TNS_ID,RA,DEC,ReportDate,Classification,Redshift,TimeReceived,Classifier
2024uai,07:32:18.780,+85:42:28.45,2024-09-03,SN Ia-91bg-like,0.006,2024-09-02 00:27:25,Andrea Reguitti
2024sku,14:12:05.411,-07:50:18.44,2024-09-03,SN Ia,0.035,2024-09-02 03:32:28,B. Martin (ANU)
2024gvz,06:07:51.729,-24:53:52.66,2024-09-03,SN Ia-CSM,0.055,2024-09-02 06:41:09,S. Mohsen
2024nbv,21:17:32.327,-23:19:15.87,2024-09-03,SN II,0.045,2024-09-02 06:41:09,S. Mohsen
2024qmh,23:44:00.572,-58:22:13.47,2024-09-03,SN IIb,0.035,2024-09-02 06:41:09,S. Mohsen
2024rma,21:43:51.275,+31:33:26.09,2024-09-03,Nova,0,2024-09-02 06:41:09,S. Mohsen
2024sjw,01:54:17.532,+04:15:16.03,2024-09-03,SN Ib,0.05,2024-09-02 06:41:09,S. Mohsen
2024svo,00:01:49.103,-04:20:38.18,2024-09-03,SN Ib,0.05,2024-09-02 06:41:09,S. Mohsen
2024tyz,21:57:09.607,-30:48:13.34,2024-09-03,SN Ia,0.0706,2024-09-02 06:41:09,S. Mohsen
2024sux,22:00:28.346,+36:40:53.50,2024-09-03,SN Ia,0.081,2024-09-02 10:22:07,C. Fremling
2024kmc,19:46:51.224,-23:58:53.01,2024-09-03,SN II-pec,0.074,2024-09-02 19:18:10,N. Shitrit
2024mvz,23:40:27.800,-07:00:51.66,2024-09-03,TDE-H-He,0.08,2024-09-02 19:18:10,N. Shitrit
2024rmj,01:07:52.738,+03:30:40.34,2024-09-03,SLSN-I,0.14,2024-09-02 19:18:10,N. Shitrit
2024rsc,21:13:37.279,+21:10:14.53,2024-09-03,SN Ia,0.1,2024-09-02 19:18:10,N. Shitrit
2024ser,21:27:24.383,+07:09:51.74,2024-09-03,SN Ia,0.1,2024-09-02 19:18:10,N. Shitrit
2024sjd,03:10:34.645,-05:04:47.07,2024-09-03,SN Ia,0.1,2024-09-02 19:18:10,N. Shitrit
2024sol,00:49:06.588,-31:04:56.33,2024-09-03,SN Ia,0.05,2024-09-02 19:18:10,N. Shitrit
2024svi,20:40:34.248,-71:58:22.40,2024-09-03,SN Ia,0.045,2024-09-02 19:18:10,N. Shitrit
2024tvb,22:18:59.411,-59:53:07.09,2024-09-03,SN,0.027,2024-09-02 19:18:10,N. Shitrit
2024tvg,23:39:17.878,+26:50:40.41,2024-09-03,SN II,0.026,2024-09-02 19:18:10,N. Shitrit
