TNS_ID,RA,DEC,ReportDate,Classification,Redshift,TimeReceived,Classifier
2023vtj,10:14:45.859,+36:41:11.44,2023-11-19,SN Ia-CSM,0.051319,2023-11-18 00:45:20,S. Rose
2023vdm,19:06:04.253,+40:52:59.21,2023-11-19,SN II,0.054171,2023-11-18 00:54:13,J. Sollerman
2023vch,05:14:36.709,-23:48:26.13,2023-11-19,SN Ia-pec,0.035164,2023-11-18 00:56:00,J. Johansson
2023vpf,07:55:22.982,+11:56:52.64,2023-11-19,SN Ia,0.1,2023-11-18 00:57:27,J. Johansson
2023wpj,06:05:32.963,+62:53:47.37,2023-11-19,SN Ia,0.058,2023-11-18 00:59:36,Claudio Balcon (Belluno A.O. ISSP)
2023veo,09:11:18.950,-01:32:51.25,2023-11-19,SN II,0.04,2023-11-18 01:01:50,J. Sollerman
2019aatt,01:21:21.628,+30:17:03.57,2023-11-19,SN Ia,0.088,2023-11-18 01:05:12,J. Johansson
2023wha,22:03:18.145,+31:12:02.64,2023-11-19,SN Ia,0.078,2023-11-18 01:06:18,W. Meynardie
2023tvy,07:52:01.800,+63:25:25.90,2023-11-19,SN Ia,0.08,2023-11-18 01:08:45,J. Johansson
2023xvi,19:49:21.470,-10:58:02.09,2023-11-19,SN IIb,0.02,2023-11-18 07:35:34,Willem Hoogendam on behalf of SCAT
2023xzq,01:05:22.769,-08:57:04.19,2023-11-19,SN Ia,0.04,2023-11-18 08:58:34,Willem Hoogendam
2023xtp,02:36:58.274,-25:12:28.96,2023-11-19,SN Ia,0.0552,2023-11-18 10:19:53,Willem Hoogendam
2023xyr,11:06:42.401,+45:44:53.81,2023-11-19,SN Ia,0.036535,2023-11-18 14:59:49,Willem Hoogendam
2023xrs,02:45:39.846,-20:48:35.76,2023-11-19,SN Ic-BL,0.04,2023-11-18 20:22:44,M. Kopsacheili
2023xuz,21:48:16.235,-02:04:08.98,2023-11-19,SN Ia,0.05,2023-11-18 20:22:44,M. Kopsacheili
2023xxj,10:50:21.111,-33:24:04.50,2023-11-19,SN IIn,0.097,2023-11-18 20:22:44,M. Kopsacheili
