TNS_ID,RA,DEC,ReportDate,Classification,Redshift,TimeReceived,Classifier
2024myw,12:04:46.068,+09:25:19.66,2024-07-06,SN Ia,0.035,2024-07-05 09:01:19,Dhvanil Desai (on behalf of the SCAT team)
2024mys,12:08:57.373,+13:02:10.24,2024-07-06,SN Ia,0.066,2024-07-05 09:04:20,Dhvanil Desai (on behalf of the SCAT team)
2024nei,13:35:42.778,+35:53:00.90,2024-07-06,SN Ia,0.059,2024-07-05 09:47:55,Dhvanil Desai (on behalf of the SCAT team)
2024ien,17:08:54.189,-00:24:14.33,2024-07-06,SN IIn,0.0625,2024-07-05 09:54:10,I. Pérez-Fournon
2024ntb,19:34:42.390,+09:01:56.90,2024-07-06,SN Ia-91T-like,0.051,2024-07-05 10:32:53,Dhvanil Desai (on behalf of the SCAT team)
2024jwx,15:10:09.230,+06:45:05.90,2024-07-06,SLSN-I,0.13,2024-07-05 16:31:08,M. Gonzalez-Banuelos
2024mss,05:29:38.196,-61:49:21.27,2024-07-06,SN Ia,0.018,2024-07-05 16:31:08,M. Gonzalez-Banuelos
2024myf,21:39:52.540,-36:01:38.96,2024-07-06,SN Ia,0.0172,2024-07-05 16:31:08,M. Gonzalez-Banuelos
2024nhe,16:55:08.572,-22:51:10.90,2024-07-06,SN Ia,0.0527,2024-07-05 16:31:08,M. Gonzalez-Banuelos
2024nqw,15:11:37.369,+05:23:50.84,2024-07-06,Galaxy,0.0401,2024-07-05 16:31:08,M. Gonzalez-Banuelos
2024nrt,21:09:37.342,+02:21:02.63,2024-07-06,Other,0,2024-07-05 16:31:08,M. Gonzalez-Banuelos
2024nsc,22:27:14.955,-02:52:05.26,2024-07-06,SN Ia-pec,0.0554,2024-07-05 16:31:08,M. Gonzalez-Banuelos
2024mvd,14:29:33.321,-09:33:40.54,2024-07-06,SN Ia,0.043,2024-07-05 23:00:49,C. Lidman (ANU)
2024nev,22:13:50.669,+03:59:02.07,2024-07-06,SN Ia,0.0585,2024-07-05 23:07:40,C. Lidman (ANU)
2024lop,16:13:17.957,+28:36:31.86,2024-07-06,SN Ia,0.11,2024-07-05 23:53:21,M. E. Huber (IfA
2024mtz,17:59:34.644,-06:05:52.02,2024-07-06,CV,0,2024-07-05 23:58:30,M. E. Huber (IfA
2024nny,19:10:00.784,+66:58:09.63,2024-07-06,SN Ia,0.1,2024-07-06 00:01:47,M. E. Huber (IfA
