TNS_ID,RA,DEC,ReportDate,Classification,Redshift,TimeReceived,Classifier
2024jz,15:33:04.842,-01:37:30.64,2024-01-09,SN Ia,0.0093,2024-01-08 01:06:21,Liping Li
2023zqy,11:15:21.820,+31:31:24.67,2024-01-09,SN II,0.0268,2024-01-08 09:09:12,Johan Fynbo (DAWN/NBI)
2023aakj,13:00:29.137,+28:27:19.76,2024-01-09,SN Ia,0.024,2024-01-08 11:48:08,C. Fremling
2023ylu,20:31:52.830,+27:40:17.26,2024-01-09,CV,,2024-01-08 16:33:25,Andreoli.V ; Ochner.P 
2024mq,10:18:37.740,+12:10:45.05,2024-01-09,SN Ia,0.036,2024-01-08 18:12:48,C. Fremling
2023acfg,10:56:37.629,+09:41:26.11,2024-01-09,SN Ia,0.058,2024-01-08 18:16:13,C. Fremling
2024dy,10:46:45.030,+29:54:33.80,2024-01-09,SN IIn,0.0214,2024-01-08 22:44:04,Jacob Wise (LJMU)
2023vbg,07:43:43.812,+34:22:29.96,2024-01-09,SN IIn,0.0173,2024-01-08 22:55:34,Jacob Wise (LJMU)
2023ywa,00:54:43.675,+39:45:31.82,2024-01-09,SN II,0.017,2024-01-08 23:29:52,Steve Schulze (NW) and Jesper Sollerman (OKC)
2024ea,10:52:18.961,+70:11:24.70,2024-01-09,SN Ia,0.08,2024-01-08 23:32:38,J. Johansson
2023acci,05:07:32.078,-19:22:50.42,2024-01-09,SN Ia,0.05,2024-01-08 23:33:23,J. Johansson
2023zmb,12:39:32.950,+24:49:51.96,2024-01-09,SN Ia,0.08,2024-01-08 23:34:49,J. Johansson
2023zut,08:09:32.895,+11:11:52.08,2024-01-09,SN Ia,0.0523,2024-01-08 23:51:38,Jacob Wise (LJMU)
