TNS_ID,RA,DEC,ReportDate,Classification,Redshift,TimeReceived,Classifier
2024vfz,01:41:52.102,-19:43:17.26,2024-10-01,SN Ia,0.08,2024-09-30 11:05:06,J.H. Terwel (TCD)
2024wsm,17:49:02.729,-23:24:05.49,2024-10-01,Nova,,2024-09-30 13:31:31,Grace Katusiime
2024vls,06:46:38.140,+22:30:33.66,2024-10-01,SN II,0.0245,2024-09-30 15:44:12,Jacob Wise (LJMU)
2024rrg,20:47:55.457,-17:45:19.23,2024-10-01,SN Ic,0.09,2024-09-30 19:43:55,J. Johansson
2024vml,23:41:19.470,+04:01:03.43,2024-10-01,SN Ic,0.023,2024-09-30 19:45:47,S. Covarrubias
2024vcr,03:23:04.425,-16:42:40.16,2024-10-01,SN II,0.045,2024-09-30 19:50:21,J. Sollerman
2024tuu,16:34:20.055,+25:03:11.77,2024-10-01,SN Ia,0.051,2024-09-30 19:53:33,S. Covarrubias
2024uvz,18:21:53.850,+18:09:08.47,2024-10-01,SN Ia,0.056,2024-09-30 19:54:18,S. Covarrubias
2024vvi,21:31:34.595,+07:28:15.49,2024-10-01,SN Ia,0.069,2024-09-30 19:56:23,S. Rose
2024vey,23:37:39.770,+05:57:17.16,2024-10-01,SN Ia,0.08,2024-09-30 19:59:50,J. Sollerman
2024wal,02:42:59.462,+11:57:28.26,2024-10-01,SN Ia,0.053,2024-09-30 20:47:19,Megan Newsome (LCO/UCSB)
2024utv,17:53:05.165,+52:49:58.81,2024-10-01,SN Ia,0.071,2024-09-30 23:01:29,Jacob Wise (LJMU)
