TNS_ID,RA,DEC,ReportDate,Classification,Redshift,TimeReceived,Classifier
2024vim,07:57:32.030,+59:05:07.92,2024-09-23,SN Ia,0.018946,2024-09-22 03:39:45,Claudio Balcon (Belluno A.O. ISSP)
2024vpc,05:45:54.616,+51:20:56.66,2024-09-23,SN Ia,0.035,2024-09-22 09:33:15,Claudio Balcon (Belluno A.O. ISSP)
2024vsa,08:16:44.642,+41:16:00.01,2024-09-23,SN Ia,0.04,2024-09-22 11:31:44,J.H. Terwel
2024vlg,23:58:05.982,-00:59:14.37,2024-09-23,SN Ia,0.0635,2024-09-22 12:28:35,C. Lidman (ANU)
2024vny,21:33:01.981,-22:41:41.51,2024-09-23,SN Ia,0.0333,2024-09-22 13:11:09,C. Lidman (ANU)
2024vsf,04:48:16.552,-20:35:39.70,2024-09-23,SN Ia,0.075,2024-09-22 13:56:05,C. Lidman (ANU)
