TNS_ID,RA,DEC,ReportDate,Classification,Redshift,TimeReceived,Classifier
2024foh,13:11:54.555,-07:02:58.76,2024-04-30,SN Ia,0.09,2024-04-29 07:18:26,C. Fremling
2024gtu,17:08:36.428,+45:15:49.48,2024-04-30,SN Ia,0.073,2024-04-29 08:05:34,C. Fremling
2024gmx,13:44:59.092,-08:44:01.56,2024-04-30,SN Ia,0.095,2024-04-29 08:52:35,C. Fremling
2024guq,19:16:29.268,+61:25:34.01,2024-04-30,SN Ia,0.09,2024-04-29 09:39:07,C. Fremling
2024gsn,14:33:03.916,+43:09:16.03,2024-04-30,SN Ia,0.071438,2024-04-29 11:13:43,C. Fremling
2024hig,09:21:02.421,+49:36:01.36,2024-04-30,SN Ia,0.03,2024-04-29 13:05:34,Robin Leadbeater
2024grb,13:36:00.269,+06:35:13.42,2024-04-30,SN Ia,0.022,2024-04-29 16:31:32,M. A. Tucker (CCAP/OSU) and A. Quarles (IfA Hilo) on behalf of the SCAT team
2024gqd,17:04:32.422,+01:20:42.74,2024-04-30,SN Ic-BL,0.012,2024-04-29 16:48:28,M. A. Tucker (CCAPP/OSU) and A. Quarles (IfA Hilo) on behalf of the SCAT team
2024gsw,11:40:42.728,+27:44:22.54,2024-04-30,SN Ia,0.05302,2024-04-29 20:15:53,J. Sollerman
2024cne,15:56:02.553,+47:45:27.22,2024-04-30,SN Ia,0.0797,2024-04-29 21:44:49,Y. Qin
