TNS_ID,RA,DEC,ReportDate,Classification,Redshift,TimeReceived,Classifier
2024acn,11:10:40.461,+21:06:27.25,2024-01-17,SN II,0.031,2024-01-16 01:48:26,Liping Li
2024hj,05:57:47.950,-06:27:40.05,2024-01-17,SN Ia,0.05,2024-01-16 04:05:36,C. Fremling
2024ua,07:47:20.126,+55:19:48.23,2024-01-17,SN Ia,0.087,2024-01-16 05:37:01,C. Fremling
2024agf,02:07:21.253,+01:55:42.43,2024-01-17,SN Ia,0.021,2024-01-16 07:02:14,C. Fremling
2024xl,13:56:24.981,+22:22:43.53,2024-01-17,SN Ia,0.07,2024-01-16 10:32:54,C. Fremling
2023achj,08:36:07.467,+25:06:47.06,2024-01-17,SN II,0.023,2024-01-16 18:53:46,Konrad Grzesiak
2023aclj,09:52:33.036,+00:59:03.19,2024-01-17,Galaxy,0.047,2024-01-16 18:53:46,Konrad Grzesiak
2024aag,13:14:09.251,-05:35:56.26,2024-01-17,SN Ib-pec,0.018,2024-01-16 18:53:46,Konrad Grzesiak
2024it,14:47:21.265,-35:45:17.99,2024-01-17,SN II,0.04,2024-01-16 18:53:46,Konrad Grzesiak
2024yq,14:07:51.457,-10:03:42.14,2024-01-17,SN Ia,0.04,2024-01-16 18:53:46,Konrad Grzesiak
2023acla,12:05:02.448,+01:10:33.17,2024-01-17,SN Ia,0.06565,2024-01-16 18:56:50,C. Fremling
2024hw,10:46:52.357,-01:23:27.42,2024-01-17,SN IIn,0.0139,2024-01-16 19:23:32,Simon de Wet
2024mk,10:16:59.230,-09:26:54.17,2024-01-17,SN Ia,0.05,2024-01-16 22:34:24,J. Wise
2024ak,15:00:52.786,+12:35:35.46,2024-01-17,SN IIb,0.028545,2024-01-16 22:39:07,J. Sollerman
2024B,02:53:17.135,-14:34:42.17,2024-01-17,SN Ia,0.075,2024-01-16 22:41:53,K. Das
2023yyx,01:52:48.370,-22:44:34.91,2024-01-17,SN II,0.031,2024-01-16 23:00:15,K. Das
2023zft,10:28:28.146,+45:30:48.65,2024-01-17,SN Ia,0.087,2024-01-16 23:38:32,J. Johansson
2023aakl,23:51:54.170,+39:57:32.78,2024-01-17,SN Ia,0.055,2024-01-16 23:43:38,J. Sollerman
