TNS_ID,RA,DEC,ReportDate,Classification,Redshift,TimeReceived,Classifier
2023xfu,05:23:22.340,+21:46:53.90,2024-04-10,Varstar,,2024-04-09 02:23:24,J.H. Terwel (TCD) G. Dimitriadis (TCD)
2024fed,07:57:37.162,+18:06:31.39,2024-04-10,SN Ia,0.066,2024-04-09 04:17:38,C. Fremling
2024fza,10:48:48.209,+04:18:24.89,2024-04-10,SN Ia,0.068988,2024-04-09 05:04:58,C. Fremling
2024fis,07:42:14.432,+52:06:57.00,2024-04-10,SN Ic-BL,0.05,2024-04-09 06:43:29,Jason Hinkle (UH/IfA) on behalf of SCAT
2024fxf,08:04:41.002,+09:32:21.36,2024-04-10,SN Ia-91T-like,0.053,2024-04-09 07:19:05,Jason Hinkle (UH/IfA) on behalf of SCAT
2024fxl,12:40:36.343,+26:30:21.39,2024-04-10,SN Ia,0.02201,2024-04-09 10:10:32,Jason Hinkle (UH/IfA) on behalf of SCAT
2024gbl,12:25:10.056,-15:30:31.66,2024-04-10,SN Ia,0.040855,2024-04-09 10:29:51,Jason Hinkle (UH/IfA) on behalf of SCAT
2024bex,06:38:47.865,+46:32:23.89,2024-04-10,SN Ia-CSM,0.1423,2024-04-09 11:23:09, F. Poidevin (IAC and ULL)
2024flw,20:44:30.127,+11:24:28.50,2024-04-10,SN Ia,0.063,2024-04-09 12:39:12,C. Fremling
2024feb,07:47:10.180,+37:21:34.84,2024-04-10,SN Ia,0.06386,2024-04-09 16:32:41,C. Fremling
2024flu,16:03:02.875,+79:49:00.36,2024-04-10,SN Ia,0.044,2024-04-09 16:36:08,C. Fremling
2024btx,11:54:55.445,+29:20:34.50,2024-04-10,SN IIP,0.0212919991,2024-04-09 18:09:33,K. Hinds
2024fyi,12:29:38.340,+32:45:21.92,2024-04-10,SN,0.09618,2024-04-09 21:30:04,Jason Hinkle (UH/IfA) on behalf of SCAT
