TNS_ID,RA,DEC,ReportDate,Classification,Redshift,TimeReceived,Classifier
2023acga,07:07:43.597,+48:20:13.59,2024-01-10,SN Ia,0.049,2024-01-09 03:57:28,C. Fremling
2023ackl,00:41:37.651,-00:19:51.68,2024-01-10,SN Ia,0.09,2024-01-09 15:36:42,J.H. Terwel (TCD)
2024ma,00:33:19.362,+22:02:16.04,2024-01-10,SN Ia,0.081,2024-01-09 15:38:54,J.H. Terwel (TCD)
2024oe,16:28:01.217,+64:52:33.04,2024-01-10,SN Ia,0.076,2024-01-09 15:54:51,C. Fremling
2023xob,01:44:47.047,+16:01:04.75,2024-01-10,SN IIn,0.105,2024-01-09 17:28:33,N. Ihanec
2023zgo,08:48:54.899,+31:47:00.82,2024-01-10,AGN,0.232,2024-01-09 17:28:33,N. Ihanec
2024C,09:43:54.124,-29:43:38.68,2024-01-10,SN IIn,0.052,2024-01-09 17:28:33,N. Ihanec
2024hm,03:24:06.521,-38:43:59.42,2024-01-10,SN Ia,0.067,2024-01-09 17:28:33,N. Ihanec
2024ka,12:04:09.756,+01:49:33.87,2024-01-10,SN Ib,0.017,2024-01-09 17:28:33,N. Ihanec
2023ablu,11:21:12.980,+49:19:08.26,2024-01-10,SN II,0.128,2024-01-09 19:43:08,J. Sollerman
2024F,01:14:15.885,+02:20:21.38,2024-01-10,SN Ia,0.05,2024-01-09 19:44:39,J. Johansson
