TNS_ID,RA,DEC,ReportDate,Classification,Redshift,TimeReceived,Classifier
2024vjz,17:10:57.031,+26:48:31.00,2024-09-28,SN Ia,0.076,2024-09-27 04:01:56,C. Fremling
2024uhu,17:09:22.692,-05:05:33.40,2024-09-28,SN II,0.02,2024-09-27 05:40:36,J. Sollerman
2024vgp,03:11:07.400,+06:37:58.58,2024-09-28,SN Ia,0.068,2024-09-27 12:14:08,Jacob Wise (LJMU)
2024vwi,17:04:20.519,+32:49:55.44,2024-09-28,SN Ia-91T-like,0.088124,2024-09-27 17:31:58,J. Johansson
2024vuf,07:25:14.089,+42:01:17.09,2024-09-28,SN Ia,0.0581,2024-09-27 17:39:49,C. Fremling
2024ugc,02:45:17.360,+35:18:19.91,2024-09-28,SN Ia,0.026,2024-09-27 20:49:42,D. Mehta
2024vkj,16:51:55.756,+74:14:57.82,2024-09-28,SN Ia,0.127,2024-09-27 22:33:32,S. Covarrubias
2024vwd,04:39:17.579,-05:41:00.28,2024-09-28,SN Ia,0.076,2024-09-27 22:34:31,S. Covarrubias
2024vwf,07:26:39.592,+45:11:27.77,2024-09-28,SN Ia,0.082,2024-09-27 22:39:02,S. Covarrubias
2024waj,05:08:00.588,-08:17:49.41,2024-09-28,SN Ia,0.126,2024-09-27 22:55:44,S. Covarrubias
2024tzk,00:54:19.460,+35:03:33.41,2024-09-28,SN II,0.03,2024-09-27 22:56:16,S. Covarrubias
2024vxf,16:01:47.286,+52:48:32.13,2024-09-28,SN Ia,0.0885,2024-09-27 22:56:43,J. Johansson
2024vyo,22:42:22.456,-13:27:01.20,2024-09-28,SN Ia,0.078,2024-09-27 23:02:39,S. Rose
2024vwm,02:00:57.502,+38:23:50.05,2024-09-28,SN Ia,0.049,2024-09-27 23:03:38,S. Rose
2024qfq,20:57:58.208,-06:12:50.75,2024-09-28,SN II,0.047,2024-09-27 23:09:03,S. Rose
