TNS_ID,RA,DEC,ReportDate,Classification,Redshift,TimeReceived,Classifier
2023rwy,02:39:10.396,-21:08:22.93,2024-05-08,SN II,0.035,2024-05-07 05:35:34,Anais Möller
2023tqc,00:28:46.301,+12:47:04.03,2024-05-08,SN Ia,0.09,2024-05-07 06:26:15,Anais Möller
2023ufr,03:58:02.608,-19:09:43.97,2024-05-08,SN Ia,0.1,2024-05-07 06:55:27,Anais Möller
2023udo,20:29:21.504,-18:27:25.62,2024-05-08,SN Ia,0.09,2024-05-07 07:03:47,Anais Möller
2023ucw,05:57:07.245,-17:47:38.69,2024-05-08,SN Ia,0.072,2024-05-07 07:28:07,Anais Möller
2023abbm,23:18:23.494,+03:12:11.20,2024-05-08,SN II,0.05,2024-05-07 07:35:58,Anais Möller
2023ujk,04:36:31.404,+12:49:55.56,2024-05-08,SN Ia,0.079,2024-05-07 07:39:17,Anais Möller
2024hqv,19:50:46.994,+52:29:56.37,2024-05-08,SN Ia,0.066,2024-05-07 09:09:34,C. Fremling
2024hvy,19:11:36.724,+51:58:04.94,2024-05-08,SN Ia,0.059,2024-05-07 10:44:50,C. Fremling
2024hjr,19:25:48.672,+41:18:03.60,2024-05-08,SN Ia,0.073,2024-05-07 11:30:40,C. Fremling
2024hyh,19:19:06.009,+47:35:51.81,2024-05-08,SN Ia,0.045,2024-05-07 22:32:19,S. Covarrubias
2024hpg,21:31:43.203,+00:21:43.71,2024-05-08,SN II,0.029381,2024-05-07 22:35:48,K. Das
2024grf,11:13:40.227,+39:01:03.53,2024-05-08,SN Ia,0.064998,2024-05-07 22:42:18,S. Covarrubias
