TNS_ID,RA,DEC,ReportDate,Classification,Redshift,TimeReceived,Classifier
2023wrk,11:28:39.166,+58:33:12.68,2023-11-07,SN Ia,0.023,2023-11-06 04:06:46,Liping Li
2023wts,00:27:18.108,+03:36:45.33,2023-11-07,SN Ia,0.066,2023-11-06 06:10:49,C. Fremling
2023vwt,08:03:49.206,+00:50:15.09,2023-11-07,SN Ia,0.07,2023-11-06 17:39:08,T. Moore
2023wne,04:39:57.915,-08:55:11.32,2023-11-07,SN Ic,0.017,2023-11-06 17:39:08,T. Moore
2023wnw,00:28:45.656,-32:24:25.40,2023-11-07,SN Ia,0.046,2023-11-06 17:39:08,T. Moore
2023wpg,02:39:56.884,-02:07:54.39,2023-11-07,SN II,0.044,2023-11-06 17:39:08,T. Moore
2023wqv,02:10:18.217,+01:48:11.63,2023-11-07,Galaxy,0.032,2023-11-06 17:39:08,T. Moore
2023wqw,02:31:41.622,+02:47:55.82,2023-11-07,Galaxy,0.027,2023-11-06 17:39:08,T. Moore
2023wrl,01:51:57.233,-31:44:30.39,2023-11-07,SN II,0.014,2023-11-06 17:39:08,T. Moore
2023wrm,00:27:51.510,+03:29:21.19,2023-11-07,Galaxy,0.005,2023-11-06 17:39:08,T. Moore
2023plg,07:17:03.172,+24:57:31.58,2023-11-07,SN Ib,0.027,2023-11-06 17:39:08,T. Moore
2023vke,08:54:20.053,-13:04:37.11,2023-11-07,SN IIn,0.056,2023-11-06 17:39:08,T. Moore
2023uru,00:23:16.008,+24:57:17.36,2023-11-07,SN II,0.06,2023-11-06 22:33:48,Kyle Davis (UCSC)
