TNS_ID,RA,DEC,ReportDate,Classification,Redshift,TimeReceived,Classifier
2023vrt,02:28:20.090,-22:14:51.65,2023-12-09,SN Ia,0.06,2023-12-08 02:29:28,Kyle Davis (UCSC)
2023xhk,03:20:19.077,-01:37:24.46,2023-12-09,SN Ia-91T-like,0.06,2023-12-08 02:31:59,Kyle Davis (UCSC)
2023xim,23:53:59.997,-22:33:51.31,2023-12-09,SN Ia,0.061,2023-12-08 02:33:34,Kyle Davis (UCSC)
2023xhb,01:21:47.009,-00:46:40.29,2023-12-09,SN II,0.054,2023-12-08 03:43:13,Kyle Davis (UCSC)
2023yzu,05:23:59.483,-20:05:33.15,2023-12-09,SN Ia,0.044414,2023-12-08 12:11:14,Jason Hinkle (UH/IfA) on behalf of SCAT
2023ywr,06:27:52.003,+67:12:25.95,2023-12-09,SN Ia,0.04,2023-12-08 12:48:43,Jason Hinkle (UH/IfA) on behalf of SCAT
2023yud,10:22:36.586,+44:17:53.29,2023-12-09,SN Ia,0.08556,2023-12-08 14:19:15,Jason Hinkle (UH/IfA) on behalf of SCAT
2016fkq,22:22:21.876,-23:30:24.52,2023-12-09,AGN,0.18,2023-12-08 16:35:43,A. Sainz de Murieta
2023yyr,01:28:23.371,-05:13:53.02,2023-12-09,SN Ia,0.1,2023-12-08 16:35:43,A. Sainz de Murieta
2023xbu,03:55:57.939,-16:24:45.56,2023-12-09,AGN,0.104,2023-12-08 16:35:43,A. Sainz de Murieta
2023ynf,07:12:18.960,-34:22:46.60,2023-12-09,SN IIn,0.04,2023-12-08 16:35:43,A. Sainz de Murieta
2023ynm,04:58:34.590,-34:39:55.19,2023-12-09,Other,0.14,2023-12-08 16:35:43,A. Sainz de Murieta
2023ypt,02:03:54.020,-09:24:52.74,2023-12-09,AGN,0.214,2023-12-08 16:35:43,A. Sainz de Murieta
2023ytn,08:44:43.134,-05:28:16.12,2023-12-09,SN Ia,0.031,2023-12-08 16:35:43,A. Sainz de Murieta
2023ysv,04:03:27.544,+27:21:30.54,2023-12-09,SN II,0.01,2023-12-08 23:49:54,J. Sollerman
2023xip,08:04:42.959,+08:42:56.13,2023-12-09,SN II,0.03,2023-12-08 23:51:33,J. Sollerman
2023wfz,23:52:28.986,+39:57:37.99,2023-12-09,SN Ia,0.068,2023-12-08 23:53:23,Y. Qin
2023woh,23:51:40.540,-18:28:46.92,2023-12-09,SN Iax[02cx-like],0.047,2023-12-08 23:56:28,Y. Qin
