TNS_ID,RA,DEC,ReportDate,Classification,Redshift,TimeReceived,Classifier
2023er,01:02:28.490,+32:20:57.59,2024-03-14,SN Ic,0.017,2024-03-13 09:14:17,J. Sollerman
2023acco,02:14:53.710,+09:25:46.38,2024-03-14,SLSN-I,0.0888,2024-03-13 09:17:48,L. Yan
2024ecr,13:39:26.112,-16:37:41.29,2024-03-14,SN II,0.052,2024-03-13 14:48:13,G. Csoernyei
2024ecu,18:55:13.934,-42:24:30.44,2024-03-14,SN II,0.02,2024-03-13 14:48:13,G. Csoernyei
2024edz,11:36:04.799,-34:20:08.84,2024-03-14,SN Ia,0.056,2024-03-13 14:48:13,G. Csoernyei
2024dhl,10:22:42.656,+16:11:25.62,2024-03-14,SN Ia,0.044193,2024-03-13 19:56:05,S. Covarrubias
