TNS_ID,RA,DEC,ReportDate,Classification,Redshift,TimeReceived,Classifier
2023yzw,01:18:16.270,-01:00:14.47,2023-12-13,SN Ia,0.04,2023-12-12 03:54:22,C. Lidman (ANU)
2023yta,03:28:34.108,-00:35:17.14,2023-12-13,SN Ia,0.07,2023-12-12 07:18:27,C. Fremling
2023yxf,02:12:33.020,+79:20:11.62,2023-12-13,SN Ia,0.078,2023-12-12 08:07:13,C. Fremling
2023ysu,11:05:25.378,+32:01:04.97,2023-12-13,SN Ib,0.039,2023-12-12 10:01:12,J. Sollerman
2023slt,03:34:04.414,-21:54:21.80,2023-12-13,SN Ia,0.139,2023-12-12 18:07:42,Sebastian Gomez (STScI)
2023wwx,22:43:08.735,-23:47:30.87,2023-12-13,SLSN-I,0.29,2023-12-12 18:07:47,Sebastian Gomez (STScI)
2023xhq,00:54:01.560,+28:17:37.25,2023-12-13,SN Ia,0.1205,2023-12-12 18:07:51,Sebastian Gomez (STScI)
2023zdx,14:27:36.678,+41:15:34.94,2023-12-13,SN IIP,0.0088,2023-12-12 22:36:18,None
2023zms,13:10:53.571,+08:42:11.86,2023-12-13,SN Ib,0.021,2023-12-12 22:37:14,J. Sollerman
