TNS_ID,RA,DEC,ReportDate,Classification,Redshift,TimeReceived,Classifier
2024enp,06:19:34.348,+55:11:48.02,2024-04-05,SN Ia,0.0443,2024-04-04 13:30:15,Jacob Wise (LJMU)
2024dwv,06:42:19.679,+41:57:27.59,2024-04-05,SN Ia,0.0431,2024-04-04 14:05:02,Jacob Wise (LJMU)
2024ox,17:02:12.905,+56:11:48.02,2024-04-05,SN Iax[02cx-like],0.0299,2024-04-04 14:20:28,Jacob Wise (LJMU)
2024eui,10:52:51.359,+37:25:37.02,2024-04-05,SN Ia,0.0868,2024-04-04 14:29:37,Jacob Wise (LJMU)
2024faj,07:59:49.603,+08:26:54.85,2024-04-05,SN Ia,0.0725,2024-04-04 14:36:02,Jacob Wise (LJMU)
2024fcj,11:02:56.257,+55:41:19.14,2024-04-05,SN Ia,0.054,2024-04-04 14:47:00,C. Fremling
2024dbc,13:54:51.310,+02:44:38.26,2024-04-05,SN IIn,0.145,2024-04-04 15:06:45,Joyce van Dalen
2024eys,12:42:23.953,+46:18:15.10,2024-04-05,SN Ia-91T-like,0.031,2024-04-04 15:10:31,L. Harvey
2024ddd,15:48:02.479,+25:14:59.31,2024-04-05,SN II,0.0422249995,2024-04-04 18:34:18,S. Rose
2023zyp,13:30:08.349,+36:08:36.55,2024-04-05,AGN,0.072691,2024-04-04 19:06:56,D. Perley
