TNS_ID,RA,DEC,ReportDate,Classification,Redshift,TimeReceived,Classifier
2023xqm,10:34:34.983,-27:39:03.37,2023-11-18,SN Ia,0.01,2023-11-17 11:15:53,M. Kopsacheili
2023xqn,00:08:10.117,+27:00:13.23,2023-11-18,SN Ia,0.03,2023-11-17 11:15:53,M. Kopsacheili
2023xoo,01:52:44.837,-03:23:56.39,2023-11-18,SN IIb,0.0171,2023-11-17 15:45:22,Maximilian Stritzinger
2023xqv,00:15:55.741,+11:37:13.43,2023-11-18,Nova,,2023-11-17 16:24:05,Allan Schweinfurth
2023xlm,00:15:57.183,+36:33:48.80,2023-11-18,SN Ia-91T-like,0.064,2023-11-17 16:25:58,Allan Schweinfurth
2023vyn,10:24:50.267,+43:28:21.09,2023-11-18,SN,0.081,2023-11-17 16:27:50,Allan Schweinfurth
2023vcn,03:35:17.472,-27:45:03.81,2023-11-18,SN Ia-91T-like,0.086,2023-11-17 18:32:13,Kyle Davis (UCSC)
2023vhb,12:19:13.187,+22:25:42.49,2023-11-18,SN II,0.0222890005,2023-11-17 20:46:58,J. Johansson
2023vjw,11:06:43.417,+53:13:30.92,2023-11-18,SN II,0.026,2023-11-17 20:51:31,J. Sollerman
2023vsr,12:25:00.223,+28:33:18.90,2023-11-18,SN II,0.030153,2023-11-17 20:53:52,J. Sollerman
2023vkz,08:28:36.174,+57:12:31.86,2023-11-18,SN II,0.035,2023-11-17 20:55:29,K. Das
2023srj,08:38:50.572,+01:24:21.46,2023-11-18,SN II,0.029043,2023-11-17 20:56:29,K. Das
