TNS_ID,RA,DEC,ReportDate,Classification,Redshift,TimeReceived,Classifier
2024vbm,20:07:41.196,+55:41:02.35,2024-09-24,SN Ia,0.04,2024-09-23 07:05:21,C. Fremling
2024vbt,01:37:37.948,+18:14:58.32,2024-09-24,SN Ia,0.072,2024-09-23 08:41:32,C. Fremling
2024ttk,00:54:24.160,+55:27:43.74,2024-09-24,SN Ia,0.04,2024-09-23 10:42:38,Jacob Wise (LJMU)
2024viu,08:05:31.496,+65:26:32.67,2024-09-24,SN Ia,0.046,2024-09-23 11:20:29,C. Fremling
2024vkx,05:48:13.440,+79:38:05.57,2024-09-24,SN Ia,0.0555,2024-09-23 12:00:44,Jacob Wise (LJMU)
2024vfe,04:43:32.673,-18:50:29.46,2024-09-24,SN Ia,0.081,2024-09-23 12:08:14,C. Fremling
2024vli,00:32:56.097,-18:11:47.03,2024-09-24,SN Ia,0.053377,2024-09-23 13:37:14,Jacob Wise (LJMU)
2024vfg,01:33:13.130,+30:38:27.26,2024-09-24,Nova,-0.000598,2024-09-23 15:53:19,Jacob Wise (LJMU)
2024vrj,20:42:27.007,-07:18:38.82,2024-09-24,SN Ia,0.028503,2024-09-23 19:33:01,K. Hinds
2024tzm,07:38:16.492,+59:48:46.78,2024-09-24,SN Ia,0.0358,2024-09-23 19:38:49,S. Covarrubias
