TNS_ID,RA,DEC,ReportDate,Classification,Redshift,TimeReceived,Classifier
2023aaib,07:05:05.597,-53:59:09.18,2023-12-21,SN Ia,0.053,2023-12-20 14:08:15,S. Barmentloo
2023aaig,12:04:57.853,-30:43:46.96,2023-12-21,Other,0,2023-12-20 14:08:15,S. Barmentloo
2023aajn,03:41:33.865,-02:46:50.02,2023-12-21,SN Ia-91T-like,0.049,2023-12-20 14:08:15,S. Barmentloo
2023aamc,05:39:36.747,-40:57:20.19,2023-12-21,SN Ia,0.061,2023-12-20 14:08:15,S. Barmentloo
2023aamf,11:01:58.696,-46:54:20.58,2023-12-21,SN Ia,0.05,2023-12-20 14:08:15,S. Barmentloo
2023aanu,03:39:47.985,-58:58:11.77,2023-12-21,SN II,0.045,2023-12-20 14:08:15,S. Barmentloo
2023yqp,03:24:49.810,-09:14:12.59,2023-12-21,SN Ic,0.032,2023-12-20 14:08:15,S. Barmentloo
2023ytq,05:44:21.651,-55:09:48.66,2023-12-21,SN II,0.028,2023-12-20 14:08:15,S. Barmentloo
2023zmx,09:09:17.440,+17:43:58.98,2023-12-21,SN Ia,0.116,2023-12-20 14:08:15,S. Barmentloo
2023znl,06:55:03.005,+19:16:00.84,2023-12-21,SN Ia,0.063,2023-12-20 14:08:15,S. Barmentloo
2023zoa,06:32:55.243,-42:35:24.19,2023-12-21,SN Ia,0.091,2023-12-20 14:08:15,S. Barmentloo
2023zoh,05:57:26.915,-39:31:10.59,2023-12-21,SN II,0.0465,2023-12-20 14:08:15,S. Barmentloo
2023ztl,06:37:41.807,-51:45:48.25,2023-12-21,CV,0,2023-12-20 14:08:15,S. Barmentloo
2023wbi,05:19:26.930,+01:25:53.98,2023-12-21,SN Ia,0.0155,2023-12-20 18:18:51,Rishabh Singh Teja (Indian Institute of Astrophysics
2023zbi,13:25:05.960,-19:46:08.00,2023-12-21,SN Ia,0.0155,2023-12-20 18:28:23,Rishabh Singh Teja (Indian Institute of Astrophysics
