TNS_ID,RA,DEC,ReportDate,Classification,Redshift,TimeReceived,Classifier
2024fxg,06:19:22.940,+47:03:15.80,2024-04-11,SN Ia,0.068,2024-04-10 04:18:14,C. Fremling
2024fmh,07:23:46.784,+71:31:19.95,2024-04-11,SN Ia,0.063,2024-04-10 06:26:12,Dhvanil Desai (on behalf of the SCAT team)
2024fom,11:21:19.130,+47:02:24.99,2024-04-11,SN Ia,0.11,2024-04-10 09:43:53,Dhvanil Desai (on behalf of the SCAT team)
2024gdb,12:39:09.924,+13:28:21.69,2024-04-11,SN Ia,0.078,2024-04-10 10:26:06,Dhvanil Desai (on behalf of the SCAT team)
2024flh,12:45:28.721,-12:06:50.65,2024-04-11,SN Ia,0.01,2024-04-10 10:34:24,Dhvanil Desai (on behalf of the SCAT team)
2024fli,14:06:26.785,-11:50:19.76,2024-04-11,SN IIb,0.036,2024-04-10 11:26:03,Dhvanil Desai (on behalf of the SCAT team)
2024ddf,15:13:32.390,+07:13:27.66,2024-04-11,SN Ia,0.041076,2024-04-10 13:41:27,J. Sollerman
2024fop,17:13:31.450,+21:36:18.29,2024-04-11,SN Ia,0.048,2024-04-10 13:48:50,Dhvanil Desai (on behalf of the SCAT team)
2023adr,14:36:19.830,+32:23:16.48,2024-04-11,Other,0.131,2024-04-10 14:19:38,Joyce van Dalen
2024fib,07:37:16.187,-38:26:58.24,2024-04-11,SN Ia,0.02,2024-04-10 14:19:38,Joyce van Dalen
2024fql,13:21:12.452,+17:39:18.88,2024-04-11,SN Ia,0.095,2024-04-10 14:19:38,Joyce van Dalen
2024fxj,12:46:47.577,+00:07:05.12,2024-04-11,SN Ia-91T-like,0.0878,2024-04-10 14:19:38,Joyce van Dalen
2024fzy,12:04:15.261,+13:53:06.96,2024-04-11,SN Ia,0.1036,2024-04-10 14:19:38,Joyce van Dalen
2024gbt,12:37:59.599,-27:26:04.35,2024-04-11,SN Ia,0.02,2024-04-10 14:19:38,Joyce van Dalen
2024gda,10:46:52.555,+11:50:10.97,2024-04-11,SN Ia,0.0543,2024-04-10 14:19:38,Joyce van Dalen
2024fwm,18:55:52.716,+53:29:19.25,2024-04-11,CV,,2024-04-10 14:36:29,Dhvanil Desai (on behalf of the SCAT team)
2024gag,07:08:42.682,+54:46:51.24,2024-04-11,SN II,0.017,2024-04-10 15:33:22,Liping Li
2024fuo,16:48:43.269,-04:49:09.08,2024-04-11,SN Ia,0.054,2024-04-10 17:45:22,J. Johansson
