TNS_ID,RA,DEC,ReportDate,Classification,Redshift,TimeReceived,Classifier
2024pnt,17:03:40.955,-06:30:46.57,2024-07-30,CV,0,2024-07-29 05:49:13,M. E. Huber (IfA
2024qae,20:36:32.912,+07:01:49.10,2024-07-30,CV,0,2024-07-29 05:56:39,M. E. Huber (IfA
2024pze,19:44:13.737,+00:15:57.80,2024-07-30,CV,0,2024-07-29 06:01:39,M. E. Huber (IfA
2024pft,13:12:34.978,-29:57:55.33,2024-07-30,SN Ia,0.074,2024-07-29 07:06:12,C. Lidman (ANU)
2024plj,17:15:58.468,+01:25:15.28,2024-07-30,SN II,0.0286,2024-07-29 07:27:38,C. Lidman (ANU)
2024pph,22:02:13.401,+14:29:58.94,2024-07-30,SN Ia,0.0614,2024-07-29 07:34:08,C. Lidman (ANU)
2024mzx,10:54:12.490,-06:12:32.98,2024-07-30,SN Ia,0.0675,2024-07-29 07:42:18,C. Lidman (ANU)
2024nwf,23:11:23.056,+27:16:05.33,2024-07-30,SN Ia,0.0839,2024-07-29 20:04:02,S. Covarrubias
2024nuu,17:02:28.504,+14:34:28.56,2024-07-30,SN Ia,0.041,2024-07-29 20:10:08,Y. Qin
2024qga,23:49:45.777,+28:03:55.15,2024-07-30,SN Ia,0.02,2024-07-29 21:08:20,Atlas Syncatto (University of Hawaii) on behalf on the SCAT team
2024pnw,01:27:25.371,-01:54:52.72,2024-07-30,SN Ia,0.017,2024-07-29 21:19:44,Atlas Syncatto (University of Hawaii) on behalf on the SCAT team
2024ppj,16:36:45.695,+56:20:09.89,2024-07-30,SN II,0.031,2024-07-29 22:20:16,J. Sollerman
