TNS_ID,RA,DEC,ReportDate,Classification,Redshift,TimeReceived,Classifier
2024ezq,21:31:28.520,+07:28:00.55,2024-05-02,SLSN-I,0.19,2024-05-01 11:34:01,Jacob Wise (LJMU)
2024ejz,13:37:40.683,+01:17:42.39,2024-05-02,SN IIn,0.0873,2024-05-01 16:05:44,Jacob Wise (LJMU)
2024hbz,12:00:41.513,+03:32:56.57,2024-05-02,SN Ia,0.08522,2024-05-01 17:34:35,C. Fremling
2024hkf,15:18:19.387,-12:39:01.91,2024-05-02,SN Ia,0.061,2024-05-01 17:37:52,C. Fremling
2024hhy,13:06:25.886,-06:02:49.88,2024-05-02,SN Ia,0.089,2024-05-01 19:06:49,S. Covarrubias
2024hco,10:58:16.834,+16:53:02.16,2024-05-02,SN Ia,0.084513,2024-05-01 19:07:52,J. Sollerman
2024gwp,14:07:25.545,+14:55:07.97,2024-05-02,SN IIb,0.02563,2024-05-01 19:09:48,S. Rose
2024grz,14:12:21.628,+08:30:19.20,2024-05-02,SN II,0.02321,2024-05-01 19:12:13,S. Rose
2024fof,16:31:57.446,+71:01:18.46,2024-05-02,SN IIn,0.114,2024-05-01 19:13:47,S. Rose
2024fcf,11:37:47.433,-03:17:21.70,2024-05-02,SN Ia,0.079966,2024-05-01 19:15:04,S. Rose
2024esa,11:08:19.268,+10:02:13.19,2024-05-02,SN II,0.04085,2024-05-01 19:16:31,S. Rose
