TNS_ID,RA,DEC,ReportDate,Classification,Redshift,TimeReceived,Classifier
2023vyp,20:39:28.097,-00:34:04.54,2023-10-31,SN Ia,0.08072,2023-10-30 06:07:55,Jason Hinkle (UH/IfA) on behalf of SCAT
2023voj,01:45:57.394,+42:41:59.84,2023-10-31,SN Ia,0.03,2023-10-30 06:23:58,M. E. Huber (IfA
2023upt,04:28:27.395,-17:53:27.16,2023-10-31,SN Ia,0.06,2023-10-30 06:27:14,M. E. Huber (IfA
2023vqn,22:52:31.722,+18:14:06.48,2023-10-31,SN Ia,0.07,2023-10-30 10:12:57,Jason Hinkle (UH/IfA) on behalf of SCAT
2023vey,04:59:33.729,-05:54:47.62,2023-10-31,SN Ia,0.09,2023-10-30 15:49:23,Ben Warwick
2023vjy,21:36:48.181,-20:12:45.67,2023-10-31,SN Ia,0.04,2023-10-30 15:49:23,Ben Warwick
2023vln,20:47:32.670,+03:28:27.09,2023-10-31,CV,0,2023-10-30 15:49:23,Ben Warwick
2023vqk,04:34:51.582,-73:05:47.34,2023-10-31,SN Ia,0.07,2023-10-30 15:49:23,Ben Warwick
2023vvw,22:50:09.188,-51:40:03.89,2023-10-31,SN Ic-BL,0.05,2023-10-30 15:49:23,Ben Warwick
2023uln,03:03:05.524,-34:44:43.52,2023-10-31,SN II,0.05,2023-10-30 15:49:23,Ben Warwick
