TNS_ID,RA,DEC,ReportDate,Classification,Redshift,TimeReceived,Classifier
2024eny,16:39:55.584,+48:45:57.50,2024-03-22,SN Ia,0.041,2024-03-21 08:07:08,C. Fremling
2024eae,15:37:54.350,-03:51:21.92,2024-03-22,SN Ia,0.068,2024-03-21 08:55:10,C. Fremling
2024epj,04:55:03.766,-65:55:57.18,2024-03-22,Nova,,2024-03-21 09:27:06,2SPOT
2024bds,08:04:52.225,-09:21:27.71,2024-03-22,SN Ia,0.07,2024-03-21 10:24:46,Priscila Pessi
2024dga,14:59:35.960,+49:19:36.12,2024-03-22,SN II,0.0267,2024-03-21 10:29:36,Priscila Pessi
2024epr,03:06:11.224,+41:51:00.18,2024-03-22,SN Ia,0.0053,2024-03-21 11:07:42,Jesper Sollerman
2024ead,15:47:50.727,-08:25:58.94,2024-03-22,SN Ia,0.059318,2024-03-21 11:28:14,C. Fremling
2024esn,18:11:39.658,+01:31:49.23,2024-03-22,SN Ia,0.0289,2024-03-21 18:26:44,J. Johansson
2024bcm,16:01:25.295,+44:00:58.85,2024-03-22,SN IIn,0.143,2024-03-21 18:40:38,D. Perley
2024bhu,11:19:30.427,+22:10:29.15,2024-03-22,SLSN-I,0.28,2024-03-21 21:41:14,Sebastian Gomez (STScI)
2024cxe,08:41:00.313,+31:58:00.01,2024-03-22,SN Ia,0.1077,2024-03-21 21:44:59,Sebastian Gomez (STScI)
2024nz,15:37:11.766,+25:26:11.71,2024-03-22,SN Ia,0.13,2024-03-21 21:50:49,Sebastian Gomez (STScI)
