TNS_ID,RA,DEC,ReportDate,Classification,Redshift,TimeReceived,Classifier
2024nrb,04:45:28.803,-16:22:29.70,2024-07-16,SN Ia,0.0339,2024-07-15 16:36:57,S. Gonzalez-Gaitan
2024nun,16:34:33.735,+04:53:06.94,2024-07-16,SN Ia,0.09,2024-07-15 16:36:57,S. Gonzalez-Gaitan
2024nut,15:45:52.960,+15:07:43.50,2024-07-16,SN Ibn,0.08,2024-07-15 16:36:57,S. Gonzalez-Gaitan
2024nzy,23:55:44.476,-05:28:23.57,2024-07-16,SN Ia,0.09,2024-07-15 16:36:57,S. Gonzalez-Gaitan
2024pab,12:12:00.644,-00:46:12.30,2024-07-16,SN Ia,0.0724,2024-07-15 16:36:57,S. Gonzalez-Gaitan
2024pag,02:07:01.931,-13:09:30.60,2024-07-16,SN Ia,0.07,2024-07-15 16:36:57,S. Gonzalez-Gaitan
2024pam,04:00:03.399,-36:59:44.61,2024-07-16,SN Ia,0.06,2024-07-15 16:36:57,S. Gonzalez-Gaitan
2024pdb,22:15:26.603,-45:19:24.18,2024-07-16,SN,0.057,2024-07-15 16:36:57,S. Gonzalez-Gaitan
2024peq,00:46:53.022,-06:40:38.76,2024-07-16,SN II,0.07,2024-07-15 16:36:57,S. Gonzalez-Gaitan
2024pgw,20:16:18.024,-08:11:30.68,2024-07-16,Other,0,2024-07-15 16:36:57,S. Gonzalez-Gaitan
2024phy,23:05:15.039,-17:02:31.47,2024-07-16,SN Ia,0.052,2024-07-15 16:36:57,S. Gonzalez-Gaitan
2024phz,12:23:15.771,+11:21:54.41,2024-07-16,SN II,0.0052,2024-07-15 16:36:57,S. Gonzalez-Gaitan
2024pja,23:04:59.320,-52:06:58.36,2024-07-16,QSO,1.38,2024-07-15 16:36:57,S. Gonzalez-Gaitan
2024pjj,16:52:11.441,+26:09:01.78,2024-07-16,SN Ia,0.1,2024-07-15 16:36:57,S. Gonzalez-Gaitan
2024pjz,02:14:56.473,-51:27:09.99,2024-07-16,SN IIn,0.03,2024-07-15 16:36:57,S. Gonzalez-Gaitan
2024pkb,04:44:25.614,-39:46:39.05,2024-07-16,SN Ic-BL,0.04,2024-07-15 16:36:57,S. Gonzalez-Gaitan
2024pkh,22:44:32.087,-42:31:18.54,2024-07-16,SN Ia-91bg-like,0.067,2024-07-15 16:36:57,S. Gonzalez-Gaitan
2024pki,20:57:20.778,-46:42:56.63,2024-07-16,SN Ia,0.06,2024-07-15 16:36:57,S. Gonzalez-Gaitan
2024pmk,02:18:51.027,-19:42:41.21,2024-07-16,SN Ia,0.031,2024-07-15 16:36:57,S. Gonzalez-Gaitan
2024kzn,23:56:42.040,+13:46:25.28,2024-07-16,SN II,0.0362,2024-07-15 17:49:06,J. Sollerman
2024lrr,16:28:09.089,+16:14:31.70,2024-07-16,SN Ia,0.0895,2024-07-15 17:52:07,J. Johansson
2024lft,13:50:07.813,+71:28:11.16,2024-07-16,SN Ia,0.1184,2024-07-15 17:54:00,J. Johansson
2024kbe,14:49:28.290,+32:23:00.13,2024-07-16,SN II,0.0572,2024-07-15 20:08:34,J. Sollerman
2024pnr,17:24:28.130,+05:01:57.10,2024-07-16,CV,0,2024-07-15 21:01:24,Claudio Balcon (Belluno A.O. ISSP)
