TNS_ID,RA,DEC,ReportDate,Classification,Redshift,TimeReceived,Classifier
2024psr,17:06:46.989,+60:46:23.00,2024-08-02,SN Ia,0.09,2024-08-01 06:07:16,C. Fremling
2024pxt,02:01:22.472,+52:38:46.09,2024-08-02,SN Ia,0.037,2024-08-01 11:14:35,C. Fremling
2024psd,22:25:39.277,-22:27:25.10,2024-08-02,SN Ia,0.07,2024-08-01 17:13:23,J. Sollerman
2024kxr,14:49:02.058,-01:46:50.74,2024-08-02,SN Ia,0.0823,2024-08-01 17:16:44,Y. Qin
2024lhv,02:41:09.560,+26:27:46.22,2024-08-02,SN II,0.04,2024-08-01 17:31:37,J. Sollerman
2024nti,14:33:46.289,+09:40:06.07,2024-08-02,SN Ia,0.089767,2024-08-01 17:36:32,Y. Qin
