TNS_ID,RA,DEC,ReportDate,Classification,Redshift,TimeReceived,Classifier
2023aakr,06:03:33.332,-44:54:56.34,2023-12-22,SN Ia,0.09,2023-12-21 14:26:01,S. Barmentloo
2023aakt,01:41:57.020,-58:39:06.87,2023-12-22,SN Ia,0.063,2023-12-21 14:26:01,S. Barmentloo
2023xwe,06:48:02.330,-58:01:00.62,2023-12-22,SN II,0.03,2023-12-21 14:26:01,S. Barmentloo
2023yko,02:34:08.520,-29:13:33.31,2023-12-22,SN II,0.054,2023-12-21 14:26:01,S. Barmentloo
2023ysx,03:34:40.050,-55:19:13.30,2023-12-22,SN II,0.052,2023-12-21 14:26:01,S. Barmentloo
2023ywh,10:39:20.110,-45:00:30.43,2023-12-22,SN II,0.021,2023-12-21 14:26:01,S. Barmentloo
2023yxp,01:40:34.359,-24:22:48.51,2023-12-22,Other,0.32,2023-12-21 14:26:01,S. Barmentloo
2023zcv,09:53:07.389,-42:26:49.73,2023-12-22,SN Ia,0.042,2023-12-21 14:26:01,S. Barmentloo
2023zku,01:15:03.210,-25:59:04.10,2023-12-22,SN Ia-91T-like,0.112,2023-12-21 14:26:01,S. Barmentloo
2023zqw,06:46:07.912,-37:48:02.64,2023-12-22,SN Ia,0.107,2023-12-21 14:26:01,S. Barmentloo
2023zrb,03:00:07.020,-57:09:33.95,2023-12-22,SN Ia,0.081,2023-12-21 14:26:01,S. Barmentloo
2023xen,07:52:12.679,+37:21:34.15,2023-12-22,TDE,0.1335,2023-12-21 20:24:46,Jean Somalwar (Caltech)
