TNS_ID,RA,DEC,DiscoveryDate,Mag,MagUnit,Filter,Reporter,Sep_arcsec,Gal_1_type,Gal_1_ABS_Mag,Gal_1_dist,Gal_1_z,Gal_1_info,Gal_2_type,Gal_2_ABS_Mag,Gal_2_dist,Gal_2_z,Gal_2_info
2023twc,05:12:36.551,-02:56:56.49,2023-08-28 11:34:29.856,19.395,ABMag,r - ZTF,K. De (Caltech) on behalf of ZTF,0.14551918347171744,G,-17.575606504149764,247.811411184,0.055393,"['78.15229' '-2.948985' 'G' '247.811411184' '0.055393'
 '0.14551918347171744' '0.17483018488028337']",,,,,
2023twd,17:16:15.281,+37:06:40.98,2023-09-27 03:27:37.152,19.1925,ABMag,g - ZTF,K. De (Caltech) on behalf of ZTF,0.15834704122413895,G,-17.03959464022289,176.36764993,0.039936,"['259.063629' '37.111412' 'G' '176.36764993' '0.039936'
 '0.15834704122413895' '0.13539534951309146']",,,,,
2023twb,03:43:20.290,-17:42:09.43,2023-09-24 10:33:00.576,19.3952,ABMag,r - ZTF,K. De (Caltech) on behalf of ZTF,0.52655180185292,G,-17.453561832248663,234.289252334,0.052492,"['55.834484' '-17.702755' 'G' '234.289252334' '0.052492'
 '0.52655180185292' '0.5980924725652067']",,,,,
2023twe,03:55:21.567,-33:53:51.12,2023-10-02 00:15:04.608,18.572,ABMag,orange - ATLAS,J. Tonry,3.227238504090264,G,999,0.0,0.0,['58.8389' '-33.89794' 'G' '0.0' '0.0' '3.227238504090264' 'inf'],,,,,
2023txa,22:07:46.781,+12:06:16.73,2023-10-02 05:23:34.080,20.77,ABMag,w - P1,K. C. Chambers,3.793008722366571,G,-18.710000580234638,787.046,0.163555011778,"['331.944' '12.1041' 'G' '787.046' '0.163555011778' '3.793008722366571'
 '14.473008738407795']",,,,,
2023twh,19:24:25.887,-32:13:27.00,2023-10-01 19:02:00.384,18.49,ABMag,orange - ATLAS,J. Tonry,4.454561234986032,G,-16.829369869044303,115.844114394,0.027739,"['291.109314' '-32.224014' 'G' '115.844114394' '0.027739'
 '4.454561234986032' '2.5018068314709923']",,,,,
