TNS_ID,RA,DEC,DiscoveryDate,ReportDate,Mag,MagUnit,Filter,Sep_arcsec,Sep_kpc,Gal_1_type,Gal_1_ABS_Mag,Gal_1_dist,Gal_1_z,Gal_1_info,Gal_2_type,Gal_2_ABS_Mag,Gal_2_dist,Gal_2_z,Gal_2_info,Reporter,SDSS_image
2024ery,08:01:06.513,-66:09:15.02,2024-03-15 00:50:13.000,2024-03-21,18.03,ABMag,BG-q - BlackGem,0.2748594930657672,0.2929424816089341,G,-18.68048374133982,219.834954703,0.04975,"['120.277084' '-66.154099' 'G' '219.834954703' '0.04975'
 '0.2748594930657672' '0.2929424816089341']",,,,,,H. Tranin,No
2024etg,10:36:35.236,-04:49:31.47,2024-03-20 04:39:00.000,2024-03-21,19.2954,ABMag,g - ZTF,0.6583446232583215,1.6596945303226354,G,-19.284600014475828,519.996,0.111805105903,"['159.147' '-4.8254' 'G' '519.996' '0.111805105903' '0.6583446232583215'
 '1.6596945303226354']",,,,,,A. Munoz-Arancibia,No
2024eta,17:52:50.084,+65:13:52.89,2024-03-20 10:20:19.003,2024-03-21,19.7339,ABMag,g - ZTF,1.2339967068124502,2.620201673350543,G,-18.473329260709626,437.971501457,0.09525,"['268.208374' '65.231041' 'G' '437.971501457' '0.09525'
 '1.2339967068124502' '2.620201673350543']",,,,,,A. Munoz-Arancibia,No
2024esc,13:32:11.865,+10:52:08.89,2024-03-18 05:45:04.896,2024-03-21,18.923,ABMag,orange - ATLAS,1.554793972893661,1.9735458307816884,G,-18.16699750503756,261.818,0.0584589892295,"['203.049' '10.86918' 'G' '261.818' '0.0584589892295' '1.554793972893661'
 '1.9735458307816884']",,,,,,J. Tonry,Yes
2024esk,17:21:14.268,-01:01:22.80,2024-03-20 11:55:03.648,2024-03-21,18.96,ABMag,r - ZTF,1.7874841609362906,1.0584340121346603,G,-16.474233590835375,122.136850883,0.0273518836759,"['260.309' '-1.02279' 'G' '122.136850883' '0.0273518836759'
 '1.7874841609362906' '1.0584340121346603']",G,-16.445758115948244,120.545672235,0.030689,"['260.308777' '-1.022762' 'G' '120.545672235' '0.030689'
 '2.569473764026991' '1.5016567674416543']",J. Nordin,No
2024eti,17:35:11.252,+55:17:45.71,2024-03-18 11:47:57.998,2024-03-21,19.4094,ABMag,r - ZTF,2.0227453528410644,5.464070253553766,G,-19.320600978465915,557.186,0.119201729601,"['263.796' '55.29578' 'G' '557.186' '0.119201729601' '2.0227453528410644'
 '5.464070253553766']",,,,,,A. Munoz-Arancibia,Yes
2024etb,15:23:31.194,+05:03:08.99,2024-03-20 10:13:49.002,2024-03-21,19.5118,ABMag,g - ZTF,2.1518683006564805,2.447134681411248,G,-17.339536586026462,234.567218064,0.0528034764017,"['230.88' '5.0519' 'G' '234.567218064' '0.0528034764017'
 '2.1518683006564805' '2.447134681411248']",,,,,,A. Munoz-Arancibia,Yes
2024esh,15:38:21.812,+12:12:22.36,2024-03-20 11:04:50.880,2024-03-21,19.6392,ABMag,g - ZTF,3.0477719507569985,2.364597327880149,G,-16.38179929907054,160.029430539,0.0351878275939,"['234.591' '12.20705' 'G' '160.029430539' '0.0351878275939'
 '3.0477719507569985' '2.364597327880149']",,,,,,K. De (Caltech) on behalf of ZTF,No
2024esj,17:23:22.123,-00:16:59.02,2024-03-20 11:55:03.648,2024-03-21,19.77,ABMag,r - ZTF,3.3214164335017777,3.0151908293962477,G,-16.592083033084,187.247749469,0.038018,"['260.841431' '-0.283601' 'G' '187.247749469' '0.038018'
 '3.3214164335017777' '3.0151908293962477']",G,-16.595152071906295,187.512582172,0.0428435914218,"['260.841' '-0.28385' 'G' '187.512582172' '0.0428435914218'
 '5.1073656576106' '4.64303794703635']",J. Nordin,No
2024esv,15:55:46.873,+30:57:11.81,2024-03-20 12:08:04.998,2024-03-21,19.5188,ABMag,r - ZTF,4.062690243256052,6.228577882908405,G,-17.981201606714677,316.228,0.0700161350081,"['238.944' '30.95313' 'G' '316.228' '0.0700161350081' '4.062690243256052'
 '6.228577882908405']",,,,,,A. Munoz-Arancibia,Yes
2024erz,09:40:47.375,-65:18:10.20,2024-03-15 01:21:52.000,2024-03-21,18.6,ABMag,BG-q - BlackGem,4.890603498366805,4.118213839200859,G,-17.59885786356582,173.688703231,0.039894,"['145.195435' '-65.303917' 'G' '173.688703231' '0.039894'
 '4.890603498366805' '4.118213839200859']",G,999,0.0,0.0,['145.195' '-65.30392' 'G' '0.0' '0.0' '5.318832347016641' 'inf'],H. Tranin,No
2024esu,19:09:54.855,+41:59:58.15,2024-03-20 12:16:32.002,2024-03-21,19.9052,ABMag,r - ZTF,5.060655640171117,inf,G,999,0.0,0.0,['287.479095' '42.000835' 'G' '0.0' '0.0' '5.060655640171117' 'inf'],,,,,,A. Munoz-Arancibia,No
2024etc,15:51:02.893,+81:46:35.85,2024-03-20 05:21:32.999,2024-03-21,19.4721,ABMag,g - ZTF,5.918253159432438,2.8049531752666055,G,-15.478686051452673,97.7591035162,0.028864,"['237.750687' '81.776382' 'G' '97.7591035162' '0.028864'
 '5.918253159432438' '2.8049531752666055']",,,,,,A. Munoz-Arancibia,No
2024esg,05:39:17.247,-59:15:07.41,2024-02-17 01:51:05.000,2024-03-21,19.29,ABMag,BG-q - BlackGem,6.126857239729084,11.626718267946902,G,-18.67322260569123,391.421359611,0.085699,"['84.825111' '-59.25243' 'G' '391.421359611' '0.085699'
 '6.126857239729084' '11.626718267946902']",,,,,,H. Tranin,No
2024esi,15:47:20.894,+10:46:57.54,2024-03-20 11:04:50.880,2024-03-21,19.66,ABMag,g - ZTF,7.105882119075698,6.696711029486339,G,-16.783343468174646,194.387660801,0.043792,"['236.837296' '10.78461' 'G' '194.387660801' '0.043792'
 '7.105882119075698' '6.696711029486339']",,,,,,J. Nordin,Yes
2024esz,17:15:29.520,+41:19:33.18,2024-03-20 11:22:55.001,2024-03-21,20.0346,ABMag,g - ZTF,7.586719263965907,6.315971379668209,G,-16.139456363391343,171.716201384,0.038787,"['258.870209' '41.326103' 'G' '171.716201384' '0.038787'
 '7.586719263965907' '6.315971379668209']",,,,,,A. Munoz-Arancibia,No
