TNS_ID,RA,DEC,DiscoveryDate,ReportDate,Mag,MagUnit,Filter,Sep_arcsec,Sep_kpc,Gal_1_type,Gal_1_ABS_Mag,Gal_1_dist,Gal_1_z,Gal_1_info,Gal_2_type,Gal_2_ABS_Mag,Gal_2_dist,Gal_2_z,Gal_2_info,Reporter,SDSS_image
2024kxf,22:56:11.922,-41:46:10.05,2024-06-04 19:20:01.248,2024-06-11,20.12,ABMag,L - GOTO,1.1584953618051046,inf,G,999,0.0,0.0,['344.05' '-41.76967' 'G' '0.0' '0.0' '1.1584953618051046' 'inf'],,,,,,G. Ramsay,No
2024kxa,17:26:56.062,+71:11:32.72,2024-05-09 11:33:26.784,2024-06-11,18.771,ABMag,orange - ATLAS,1.5757225766334502,1.8406099381257022,G,-18.13853569119722,240.939019272,0.053621,"['261.732697' '71.192093' 'G' '240.939019272' '0.053621'
 '1.5757225766334502' '1.8406099381257022']",,,,,,J. Tonry,No
2024kwh,11:57:54.373,-53:14:17.79,2024-06-07 01:38:54.816,2024-06-11,19.001,ABMag,cyan - ATLAS,2.0244050964986924,inf,G,999,0.0,0.0,['179.477' '-53.23877' 'G' '0.0' '0.0' '2.0244050964986924' 'inf'],,,,,,J. Tonry,No
2024kwx,19:08:16.890,+78:56:22.61,2024-06-09 09:52:33.997,2024-06-11,19.7875,ABMag,g - ZTF,2.6446380976448784,2.7681566588892017,G,-16.883747739266617,215.898461652,0.048145,"['287.073761' '78.939957' 'G' '215.898461652' '0.048145'
 '2.6446380976448784' '2.7681566588892017']",,,,,,Jesper Sollerman (SU),No
2024kwe,12:47:36.578,+66:13:25.08,2024-06-10 04:46:39.000,2024-06-11,19.8248,ABMag,g - ZTF,3.249006333331825,6.393491759119306,G,-18.217263424932195,405.894049948,0.088681,"['191.90181' '66.224503' 'G' '405.894049948' '0.088681'
 '3.249006333331825' '6.393491759119306']",,,,,,Jesper Sollerman (SU),Yes
2024kxc,13:56:24.873,-00:14:46.38,2024-06-08 07:00:50.400,2024-06-11,19.27,ABMag,w - P1,3.370854111457287,2.151142565878527,G,-16.326771851226905,131.629845106,0.0297971248986,"['209.104' '-0.24708' 'G' '131.629845106' '0.0297971248986'
 '3.370854111457287' '2.151142565878527']",G,-16.322254216391993,131.356280761,0.026866,"['209.103516' '-0.247621' 'G' '131.356280761' '0.026866'
 '5.074485842598673' '3.2316011595456122']",K. C. Chambers,Yes
2024kxj,23:49:31.294,-36:53:53.95,2024-06-10 02:02:24.000,2024-06-11,17.6,ABMag,g - Sloan,4.775002447580101,4.536817221495314,G,-18.86101408747337,195.97596765,0.038075,"['357.3797' '-36.899525' 'G' '195.97596765' '0.038075' '4.775002447580101'
 '4.536817221495314']",,,,,,K. Z. Stanek,No
2024kwo,08:25:49.392,+15:45:48.56,2024-02-15 06:55:35.904,2024-06-11,21.01,ABMag,w - P1,5.091372430267923,17.964281423559246,G,-18.300000583202273,727.78,0.152330296165,"['126.456' '15.76489' 'G' '727.78' '0.152330296165' '5.091372430267923'
 '17.964281423559246']",,,,,,K. C. Chambers,Yes
2024kxd,21:57:45.888,-07:04:46.43,2024-06-07 13:31:10.848,2024-06-11,19.79,ABMag,w - P1,5.532334336830261,10.291602576014828,G,-18.12999861071198,383.707,0.0841048320524,"['329.441' '-7.07804' 'G' '383.707' '0.0841048320524' '5.532334336830261'
 '10.291602576014828']",,,,,,K. C. Chambers,Yes
2024kwf,13:41:04.232,-18:13:01.63,2024-06-08 04:33:29.001,2024-06-11,19.7495,ABMag,g - ZTF,6.557934445407792,inf,G,999,0.0,0.0,['205.267' '-18.2154' 'G' '0.0' '0.0' '6.557934445407792' 'inf'],,,,,,Jesper Sollerman (SU),No
2024kxh,09:42:48.297,+43:07:07.65,2024-06-08 21:36:47.520,2024-06-11,19.63,ABMag,L - GOTO,7.971469160772592,24.952443622571117,G,-19.41999922970764,645.654,0.13653975827,"['145.7' '43.11677' 'G' '645.654' '0.13653975827' '7.971469160772592'
 '24.952443622571117']",,,,,,A. Kumar,Yes
2024kwj,13:56:08.012,+04:22:50.11,2024-05-31 06:00:31.000,2024-06-11,20.7817,ABMag,g - ZTF,8.196258439643135,23.59451424869798,G,-18.086402650434408,593.773115643,0.126415,"['209.033493' '4.378312' 'G' '593.773115643' '0.126415'
 '8.196258439643135' '23.59451424869798']",,,,,,Jesper Sollerman (SU),Yes
2024kwy,18:55:42.128,-47:32:56.90,2024-04-06 06:33:02.880,2024-06-11,19.428,ABMag,orange - ATLAS,8.486822802200258,13.119282853386059,G,-18.08995047127031,318.852696601,0.070569,"['283.922058' '-47.549374' 'G' '318.852696601' '0.070569'
 '8.486822802200258' '13.119282853386059']",,,,,,J. Tonry,No
