TNS_ID,RA,DEC,DiscoveryDate,ReportDate,Mag,MagUnit,Filter,Sep_arcsec,Sep_kpc,Gal_1_type,Gal_1_ABS_Mag,Gal_1_dist,Gal_1_z,Gal_1_info,Reporter,SDSS_image
2024ddh,14:46:51.818,-40:32:52.45,2024-02-20 02:16:20.352,2024-02-23,17.921,ABMag,orange - ATLAS,0.8586395119300848,0.5784732124375047,G,-17.793487582036263,138.962467279,0.032056,"['221.715607' '-40.547836' 'G' '138.962467279' '0.032056'
 '0.8586395119300848' '0.5784732124375047']",J. Tonry,No
2024ddg,12:46:58.709,+01:34:18.79,2024-02-21 02:16:59.232,2024-02-23,18.59,ABMag,orange - ATLAS,2.4453022132130577,5.12752253124589,G,-19.590000848302918,432.514,0.0941363270682,"['191.744' '1.57161' 'G' '432.514' '0.0941363270682' '2.4453022132130577'
 '5.12752253124589']",J. Tonry,Yes
2024def,14:00:50.899,+27:36:23.84,2024-02-22 13:44:00.672,2024-02-23,20,ABMag,i - P1,3.9854909009104613,5.572581930974739,G,-17.299998868251336,288.403,0.0641285720643,"['210.211' '27.60718' 'G' '288.403' '0.0641285720643' '3.9854909009104613'
 '5.572581930974739']",D. O. Jones (UC Santa Cruz),Yes
2024ddq,21:07:47.130,-58:18:11.99,2024-02-12 08:26:52.800,2024-02-23,17.01,ABMag,G - Gaia,5.198146185724789,2.702628845949977,G,-18.14181526072473,107.241542537,0.029824,"['316.943756' '-58.303768' 'G' '107.241542537' '0.029824'
 '5.198146185724789' '2.702628845949977']",S.T. Hodgkin,No
2024ddv,13:32:47.344,+31:40:42.07,2024-02-22 14:34:03.936,2024-02-23,20.21,ABMag,z - P1,8.232291197131532,10.54982574214611,G,-16.900748476331884,264.331971585,0.058997,"['203.199249' '31.676809' 'G' '264.331971585' '0.058997'
 '8.232291197131532' '10.54982574214611']",D. O. Jones (UC Santa Cruz),Yes
2024ddc,02:44:48.884,-34:42:34.75,2024-02-22 00:33:13.248,2024-02-23,18.182,ABMag,orange - ATLAS,9.25879326735322,6.899212830204493,G,-17.751351442599184,153.698733378,0.0353461676731,"['41.2026' '-34.70724' 'G' '153.698733378' '0.0353461676731'
 '9.25879326735322' '6.899212830204493']",J. Tonry,No
2024ddd,15:48:02.477,+25:14:59.13,2024-02-21 12:59:19.680,2024-02-23,18.456,ABMag,orange - ATLAS,9.275752713920152,8.544420166708385,G,-17.93779283753491,190.002172836,0.0426527013264,"['237.011429' '25.252132' 'G' '190.002172836' '0.0426527013264'
 '9.275752713920152' '8.544420166708385']",J. Tonry,Yes
