TNS_ID,RA,DEC,DiscoveryDate,Mag,MagUnit,Filter,Reporter,Sep_arcsec,Sep_kpc,Gal_1_type,Gal_1_ABS_Mag,Gal_1_dist,Gal_1_z,Gal_1_info,Gal_2_type,Gal_2_ABS_Mag,Gal_2_dist,Gal_2_z,Gal_2_info,Gal_3_type,Gal_3_ABS_Mag,Gal_3_dist,Gal_3_z,Gal_3_info
2023tvk,16:39:11.081,+49:08:04.44,2023-10-01 05:35:02.688,18.199,ABMag,orange - ATLAS,J. Tonry,1.2699197487506353,1.040995150791698,G,-17.941487812995792,169.082072541,0.038354,"['249.796265' '49.134914' 'G' '169.082072541' '0.038354'
 '1.2699197487506353' '1.040995150791698']",G,999,0.0,0.0,['249.796' '49.13499' 'G' '0.0' '0.0' '1.5762259900274134' 'inf'],G,999,0.0,0.0,['249.797' '49.1326' 'G' '0.0' '0.0' '7.344447953997279' 'inf']
2023tvn,17:09:56.140,-82:14:09.71,2023-09-20 17:35:56.256,18.537,ABMag,orange - ATLAS,J. Tonry,2.248139644522884,2.8048421686011737,G,-18.515551385207438,257.341766045,0.057881,"['257.484558' '-82.236649' 'G' '257.341766045' '0.057881'
 '2.248139644522884' '2.8048421686011737']",,,,,,,,,,
2023tvd,09:00:34.290,+01:18:54.90,2023-09-29 15:23:02.400,18.71,ABMag,G - Gaia,S.T. Hodgkin,2.8883572686373196,5.457939258600877,G,-19.24401459989818,389.765073675,0.085357,"['135.142426' '1.315915' 'G' '389.765073675' '0.085357'
 '2.8883572686373196' '5.457939258600877']",,,,,,,,,,
2023tvs,07:44:30.458,+67:16:27.51,2023-10-01 13:49:54.048,17.62,ABMag,i - P1,K. C. Chambers,4.207766123789894,1.2755978472590122,G,-16.36043658956645,62.5298400712,0.020417,"['116.129311' '67.273598' 'G' '62.5298400712' '0.020417'
 '4.207766123789894' '1.2755978472590122']",,,,,,,,,,
