TNS_ID,RA,DEC,DiscoveryDate,ReportDate,Mag,MagUnit,Filter,Sep_arcsec,Sep_kpc,Gal_1_type,Gal_1_ABS_Mag,Gal_1_dist,Gal_1_z,Gal_1_info,Gal_2_type,Gal_2_ABS_Mag,Gal_2_dist,Gal_2_z,Gal_2_info,Gal_3_type,Gal_3_ABS_Mag,Gal_3_dist,Gal_3_z,Gal_3_info,Reporter,SDSS_image
2024gjf,17:04:40.918,+40:15:51.29,2024-04-11 11:54:23.999,2024-04-13,21.669,ABMag,g - ZTF,2.024531131137881,inf,G,999,0.0,0.0,['256.171204' '40.264103' 'G' '0.0' '0.0' '2.024531131137881' 'inf'],,,,,,,,,,,A. Munoz-Arancibia,No
2024giw,17:58:36.322,+47:05:58.70,2024-04-04 10:26:13.001,2024-04-13,19.8342,ABMag,g - ZTF,2.3007627247208857,3.9713143407447182,G,-17.92323782303362,356.030795464,0.078358,"['269.65097' '47.099052' 'G' '356.030795464' '0.078358'
 '2.3007627247208857' '3.9713143407447182']",,,,,,,,,,,Jesper Sollerman (SU),No
2024gmh,11:12:55.800,-05:35:19.50,2024-04-12 07:22:15.004,2024-04-13,20.0127,ABMag,r - ZTF,2.4152988073302084,9.739706126706198,G,-19.587300597578523,831.764,0.171934645967,"['168.232' '-5.5892' 'G' '831.764' '0.171934645967' '2.4152988073302084'
 '9.739706126706198']",,,,,,,,,,,A. Munoz-Arancibia,No
2024gln,14:55:47.256,+12:32:27.15,2024-03-17 11:30:13.248,2024-04-13,19.91,ABMag,w - P1,2.4557527232008356,1.5453295648811527,G,-15.656308061840942,129.796090738,0.029526,"['223.946823' '12.541553' 'G' '129.796090738' '0.029526'
 '2.4557527232008356' '1.5453295648811527']",G,-15.647592989213077,129.276205972,0.0293972846986,"['223.947' '12.54189' 'G' '129.276205972' '0.0293972846986'
 '3.6708589082491336' '2.300706169629159']",G,-15.621701910122223,127.743962082,0.0290026945013,"['223.948' '12.53973' 'G' '127.743962082' '0.0290026945013'
 '5.650946232897754' '3.4997451791153105']",K. C. Chambers,Yes
2024ggz,10:59:10.223,-36:37:03.33,2024-04-10 10:56:25.440,2024-04-13,19.59,ABMag,L - GOTO,2.712725726936162,5.254795010763072,G,-18.417875129465127,399.553579627,0.087376,"['164.793518' '-36.617733' 'G' '399.553579627' '0.087376'
 '2.712725726936162' '5.254795010763072']",,,,,,,,,,,K. Ackley,No
2024gls,11:22:49.708,+54:08:33.28,2024-03-21 10:22:18.624,2024-04-13,20.42,ABMag,i - P1,2.8064709093812605,12.523785300636854,G,-19.400001010295384,920.45,0.188336074168,"['170.707977' '54.141983' 'G' '920.45' '0.188336074168'
 '2.8064709093812605' '12.523785300636854']",,,,,,,,,,,K. C. Chambers,Yes
2024gjh,16:05:08.204,+40:11:11.16,2024-04-11 11:50:12.998,2024-04-13,21.2783,ABMag,g - ZTF,2.841160859496132,8.338170660685337,G,-17.631700449281396,605.341,0.128682814341,"['241.285' '40.18595' 'G' '605.341' '0.128682814341' '2.841160859496132'
 '8.338170660685337']",,,,,,,,,,,A. Munoz-Arancibia,Yes
2024gja,04:15:40.098,-49:47:50.70,2024-04-11 17:30:01.152,2024-04-13,19.572,ABMag,orange - ATLAS,3.2176570188430955,inf,G,999,0.0,0.0,['63.9183' '-49.797' 'G' '0.0' '0.0' '3.2176570188430955' 'inf'],,,,,,,,,,,J. Tonry,No
2024gjr,08:49:56.580,+54:45:45.29,2024-04-11 03:23:05.001,2024-04-13,20.4046,ABMag,i - ZTF,3.3330483448360204,7.2179999774805,G,-17.845401982684262,446.684,0.0970246685123,"['132.487' '54.762' 'G' '446.684' '0.0970246685123' '3.3330483448360204'
 '7.2179999774805']",,,,,,,,,,,A. Munoz-Arancibia,Yes
2024glg,09:00:07.611,+60:05:00.43,2024-03-22 08:31:38.784,2024-04-13,19.7,ABMag,i - P1,3.380582765888564,2.8250716631117494,G,-16.482315145193308,172.370534784,0.038333,"['135.030121' '60.082951' 'G' '172.370534784' '0.038333'
 '3.380582765888564' '2.8250716631117494']",,,,,,,,,,,K. C. Chambers,Yes
