TNS_ID,RA,DEC,DiscoveryDate,ReportDate,Mag,MagUnit,Filter,Sep_arcsec,Sep_kpc,Gal_1_type,Gal_1_ABS_Mag,Gal_1_dist,Gal_1_z,Gal_1_info,Gal_2_type,Gal_2_ABS_Mag,Gal_2_dist,Gal_2_z,Gal_2_info,Reporter,SDSS_image
2024ipx,10:56:42.029,+51:28:27.50,2024-05-07 04:26:10.003,2024-05-12,20.4434,ABMag,g - ZTF,0.6510574058613875,2.5188036875210416,G,-19.066600850994167,797.995,0.165613642807,"['164.175' '51.47447' 'G' '797.995' '0.165613642807' '0.6510574058613875'
 '2.5188036875210416']",,,,,,F. Forster,Yes
2024ipk,15:01:19.245,+12:38:50.98,2024-05-09 07:00:12.997,2024-05-12,19.411,ABMag,r - ZTF,1.0760555034962755,0.80807168210608,G,-16.53920173919346,154.896051737,0.03414,"['225.33046' '12.647631' 'G' '154.896051737' '0.03414'
 '1.0760555034962755' '0.80807168210608']",,,,,,Eli Gendreau-Distler (UC Berkeley),Yes
2024ipm,15:57:31.903,+08:43:02.87,2024-05-10 08:06:05.002,2024-05-12,20.1619,ABMag,g - ZTF,1.0807790650681084,1.7424575810698526,G,-17.447352119016582,332.545001106,0.073447,"['239.383224' '8.717536' 'G' '332.545001106' '0.073447'
 '1.0807790650681084' '1.7424575810698526']",,,,,,Nabeel Rehemtulla (CIERA,Yes
2024ipl,14:42:17.158,+61:58:38.82,2024-05-11 08:12:53.000,2024-05-12,19.4363,ABMag,g - ZTF,1.897914071965968,1.660609707083267,G,-16.845780797880845,180.474629775,0.0406081403041,"['220.572' '61.97698' 'G' '180.474629775' '0.0406081403041'
 '1.897914071965968' '1.660609707083267']",,,,,,Nabeel Rehemtulla (CIERA,Yes
2024ipv,14:02:41.561,+10:46:05.47,2024-05-07 06:07:17.996,2024-05-12,20.1874,ABMag,r - ZTF,1.9119669053512351,5.63709347772505,G,-18.732599995434075,608.135,0.129229864615,"['210.673' '10.76869' 'G' '608.135' '0.129229864615' '1.9119669053512351'
 '5.63709347772505']",,,,,,F. Forster,Yes
2024ipg,16:48:32.355,-19:51:04.03,2024-05-09 10:37:43.000,2024-05-12,20.3553,ABMag,g - ZTF,1.9337579922754966,3.9990349125680043,G,-17.79459103585353,426.558113645,0.092919,"['252.134689' '-19.850595' 'G' '426.558113645' '0.092919'
 '1.9337579922754966' '3.9990349125680043']",,,,,,Eli Gendreau-Distler (UC Berkeley),No
2024ipp,18:45:47.021,+18:10:07.62,2024-05-09 11:03:42.002,2024-05-12,20.4563,ABMag,g - ZTF,3.6434309756500802,6.808849055736099,G,-17.47364146685888,385.467967041,0.084469,"['281.446594' '18.167999' 'G' '385.467967041' '0.084469'
 '3.6434309756500802' '6.808849055736099']",G,999,0.0,0.0,['281.447' '18.1677' 'G' '0.0' '0.0' '5.369897102576917' 'inf'],F. Forster,No
2024ipc,11:06:54.039,+01:14:57.53,2024-05-10 07:00:27.936,2024-05-12,18.993,ABMag,orange - ATLAS,6.4093139207238,9.628239515410623,G,-18.462802376232336,309.856403163,0.068672,"['166.723465' '1.249852' 'G' '309.856403163' '0.068672' '6.4093139207238'
 '9.628239515410623']",,,,,,J. Tonry,Yes
2024ipj,14:23:37.788,+08:33:04.05,2024-04-19 07:40:06.000,2024-05-12,20.3701,ABMag,g - ZTF,7.270409762092623,9.619092656959626,G,-16.809901764239065,272.898,0.0608273704137,"['215.909' '8.54981' 'G' '272.898' '0.0608273704137' '7.270409762092623'
 '9.619092656959626']",,,,,,Nabeel Rehemtulla (CIERA,No
