TNS_ID,RA,DEC,DiscoveryDate,ReportDate,Mag,MagUnit,Filter,Sep_arcsec,Sep_kpc,Gal_1_type,Gal_1_ABS_Mag,Gal_1_dist,Gal_1_z,Gal_1_info,Gal_2_type,Gal_2_ABS_Mag,Gal_2_dist,Gal_2_z,Gal_2_info,Reporter,SDSS_image
2024crc,05:06:08.474,-43:53:20.60,2024-02-13 19:40:29.856,2024-02-15,18.961,ABMag,orange - ATLAS,0.45618151105133775,0.5685465351658087,G,-18.089267354673154,257.071227292,0.057441,"['76.535484' '-43.889061' 'G' '257.071227292' '0.057441'
 '0.45618151105133775' '0.5685465351658087']",,,,,,J. Tonry,No
2024cqv,09:57:24.322,+54:20:02.77,2024-02-12 10:49:26.400,2024-02-15,20.09,ABMag,g - ZTF,1.5009677986407666,2.0698843114342207,G,-17.179999154569888,284.446,0.0632875216438,"['149.352' '54.33394' 'G' '284.446' '0.0632875216438' '1.5009677986407666'
 '2.0698843114342207']",,,,,,C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration,Yes
2024cqy,04:00:44.316,-12:36:31.41,2024-02-14 05:39:57.312,2024-02-15,21.02,ABMag,g - P1,3.3398615680735544,7.601170312617304,G,-17.33788565147071,469.436798451,0.101641,"['60.185524' '-12.60909' 'G' '469.436798451' '0.101641'
 '3.3398615680735544' '7.601170312617304']",,,,,,D. O. Jones (UC Santa Cruz),No
2024cqs,16:22:58.324,+22:09:10.84,2024-02-11 13:10:33.600,2024-02-15,19.62,ABMag,g - ZTF,4.208366914745398,8.703400212202235,G,-18.530002449504554,426.58,0.0929235764618,"['245.743' '22.15418' 'G' '426.58' '0.0929235764618' '4.208366914745398'
 '8.703400212202235']",,,,,,C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration,Yes
2024crp,09:55:41.385,+01:36:36.94,2024-02-13 11:03:46.944,2024-02-15,19.84,ABMag,w - P1,5.169066747416789,10.858553901335368,G,-18.343924922538466,433.296303972,0.094296,"['148.922211' '1.611679' 'G' '433.296303972' '0.094296'
 '5.169066747416789' '10.858553901335368']",G,-19.209999229707638,645.654,0.13653975827,"['148.92305' '1.608346' 'G' '645.654' '0.13653975827' '7.23815871889042'
 '22.657021400203536']",K. C. Chambers,No
2024cra,11:04:13.279,-48:17:40.48,2024-02-13 22:49:33.312,2024-02-15,18.122,ABMag,orange - ATLAS,6.568360488664313,6.759311623158702,G,-18.51235311158794,212.261203505,0.047787,"['166.057678' '-48.293636' 'G' '212.261203505' '0.047787'
 '6.568360488664313' '6.759311623158702']",,,,,,J. Tonry,No
2024crn,13:33:15.096,+05:45:58.26,2024-02-11 09:38:11.328,2024-02-15,20.736,ABMag,g - ZTF,7.0377653351343925,25.49725902142545,G,-18.631419236580324,747.280840111,0.156039,"['203.313797' '5.764444' 'G' '747.280840111' '0.156039'
 '7.0377653351343925' '25.49725902142545']",,,,,,K. De (Caltech) on behalf of ZTF,Yes
