,RA,DEC,DiscoveryDate,ReportDate,Mag,MagUnit,Filter,Sep_arcsec,Sep_kpc,Gal_1_type,Gal_1_ABS_Mag,Gal_1_dist,Gal_1_z,Gal_1_info,Gal_2_type,Gal_2_ABS_Mag,Gal_2_dist,Gal_2_z,Gal_2_info,Reporter
2023udc,02:48:29.080,+47:59:35.17,2023-09-28 11:18:59.328,06-Oct-2023,20.0183,ABMag,g - ZTF,0.25846556165156703,0.14516152627118736,G,-15.301069869044301,115.844114394,0.013111,"['42.12109' '47.993153' 'G' '115.844114394' '0.013111'
 '0.25846556165156703' '0.14516152627118736']",G,-15.339132809969602,117.892604417,0.0253314726657,"['42.121' '47.99314' 'G' '117.892604417' '0.0253314726657'
 '0.42330114570916144' '0.24194178069937824']",K. De (Caltech) on behalf of ZTF
2023udb,04:25:05.794,-10:18:51.83,2023-10-04 10:10:16.320,06-Oct-2023,19.2678,ABMag,g - ZTF,0.4405093380891146,0.4267542900155468,G,-17.235439548091755,199.824120253,0.044801,"['66.274063' '-10.314492' 'G' '199.824120253' '0.044801'
 '0.4405093380891146' '0.4267542900155468']",,,,,,K. De (Caltech) on behalf of ZTF
2023uda,20:26:42.688,+10:41:41.88,2023-10-04 04:04:22.080,06-Oct-2023,17.7306,ABMag,g - ZTF,1.9551575842311113,0.6506168323340749,G,-16.452243305499746,68.6386386166,0.013763,"['306.677673' '10.694458' 'G' '68.6386386166' '0.013763'
 '1.9551575842311113' '0.6506168323340749']",,,,,,K. De (Caltech) on behalf of ZTF
2023ucy,19:01:41.992,+40:45:05.89,2023-10-05 03:38:05.280,06-Oct-2023,17.9015,ABMag,r - ZTF,2.751502085443202,inf,G,999,0.0,0.0,['285.425' '40.7524' 'G' '0.0' '0.0' '2.751502085443202' 'inf'],,,,,,K. De (Caltech) on behalf of ZTF
2023ubp,23:10:31.073,+02:57:15.56,2023-10-05 03:19:09.984,06-Oct-2023,18.056,ABMag,cyan - ATLAS,2.818826555500362,inf,G,999,0.0,0.0,['347.63' '2.9549' 'G' '0.0' '0.0' '2.818826555500362' 'inf'],G,-18.777210221446946,232.617318075,0.051986,"['347.629913' '2.955111' 'G' '232.617318075' '0.051986'
 '3.2542929905402866' '3.6700633591139318']",J. Tonry
2023uch*,21:33:25.405,-06:38:54.70,2023-10-04 05:47:12.768,06-Oct-2023,20.22,ABMag,w - P1,4.058133257915755,14.855970893562581,G,-19.16999934528623,755.092,0.15752023876,"['323.355' '-6.64927' 'G' '755.092' '0.15752023876' '4.058133257915755'
 '14.855970893562581']",,,,,,K. C. Chambers
