TNS_ID,RA,DEC,DiscoveryDate,ReportDate,Mag,MagUnit,Filter,Sep_arcsec,Sep_kpc,Gal_1_type,Gal_1_ABS_Mag,Gal_1_dist,Gal_1_z,Gal_1_info,Gal_2_type,Gal_2_ABS_Mag,Gal_2_dist,Gal_2_z,Gal_2_info,Reporter,SDSS_image
2024aro,14:15:02.902,+07:05:41.03,2024-01-23 14:54:59.328,2024-01-24,19.81,ABMag,i - P1,0.32923358424461036,0.6999697890978097,G,-18.400001496527057,438.531,0.095363987682,"['213.762' '7.09474' 'G' '438.531' '0.095363987682' '0.32923358424461036'
 '0.6999697890978097']",,,,,,D. O. Jones (UC Santa Cruz),Yes
2024arf,06:21:04.470,-36:58:29.27,2024-01-21 11:52:43.680,2024-01-24,18.75,ABMag,L - GOTO,0.5753259088453987,0.8135793638029102,G,-18.574555626446568,291.68300482,0.064825,"['95.268494' '-36.974918' 'G' '291.68300482' '0.064825'
 '0.5753259088453987' '0.8135793638029102']",,,,,,T. Killestein,No
2024arr,06:39:12.252,-28:56:53.66,2024-01-13 12:13:45.984,2024-01-24,19.45,ABMag,L - GOTO,0.6429473107792992,inf,G,999,0.0,0.0,['99.8012' '-28.94836' 'G' '0.0' '0.0' '0.6429473107792992' 'inf'],,,,,,B. Godson,No
2024arc,16:13:42.251,+55:42:04.00,2024-01-22 14:55:14.016,2024-01-24,18.852,ABMag,orange - ATLAS,3.757909196134637,8.244633878034591,G,-19.426251129419573,452.532969983,0.098214,"['243.425323' '55.70015' 'G' '452.532969983' '0.098214'
 '3.757909196134637' '8.244633878034591']",G,-22.447998975409437,1819.7,0.341786510893,"['243.422' '55.70009' 'G' '1819.7' '0.341786510893' '8.993229624419772'
 '79.33966169011948']",J. Tonry,No
2024arp,05:40:27.704,-49:39:52.33,2024-01-19 11:50:56.544,2024-01-24,18.19,ABMag,L - GOTO,7.2181765470995565,5.851703484016249,G,-17.926399723139152,167.216814043,0.036777,"['85.115082' '-49.662544' 'G' '167.216814043' '0.036777'
 '7.2181765470995565' '5.851703484016249']",,,,,,B. Godson,No
2024arb,14:40:39.996,+35:52:53.76,2024-01-22 12:51:01.152,2024-01-24,18.51,ABMag,orange - ATLAS,9.795271863669765,29.281367791727313,G,-20.439999993444392,616.595,0.130883615442,"['220.17' '35.88179' 'G' '616.595' '0.130883615442' '9.795271863669765'
 '29.281367791727313']",,,,,,J. Tonry,No
