TNS_ID,RA,DEC,DiscoveryDate,Mag,MagUnit,Filter,Reporter,Sep_arcsec,Sep_kpc,Gal_1_type,Gal_1_ABS_Mag,Gal_1_dist,Gal_1_z,Gal_1_info,Gal_2_type,Gal_2_ABS_Mag,Gal_2_dist,Gal_2_z,Gal_2_info
2023tuj,03:22:10.187,-16:45:32.45,2023-09-27 12:38:33.792,19.28,ABMag,y - P1,D. O. Jones (UC Santa Cruz),0.2687266101664979,0.18346326242881653,G,-16.463317857271313,140.819750805,0.031091,"['50.542393' '-16.758959' 'G' '140.819750805' '0.031091'
 '0.2687266101664979' '0.18346326242881653']",G,999,0.0,0.0,['50.5425' '-16.75791' 'G' '0.0' '0.0' '3.978384050579515' 'inf']
2023tul,18:34:44.895,+30:35:29.35,2023-09-29 03:36:32.832,19.5892,ABMag,r - ZTF,Patrick Aleo (UIUC),0.3655318244518952,inf,G,999,0.0,0.0,['278.687' '30.5914' 'G' '0.0' '0.0' '0.3655318244518952' 'inf'],,,,,
