TNS_ID,RA,DEC,DiscoveryDate,ReportDate,Mag,MagUnit,Filter,Gal_match,miniST_name,Reporter
2023uyd,13:29:56.967,+47:42:36.83,2023-08-06 06:11:11.328,16-Oct-2023,20.12,ABMag,r - P1,2,['m7694'],D. O. Jones (UC Santa Cruz)
2023uye,14:02:36.922,+54:30:00.31,2023-09-25 05:34:16.032,16-Oct-2023,18.89,ABMag,r - P1,0,['m8227'],D. O. Jones (UC Santa Cruz)
2023vbu,02:13:47.503,+03:52:30.80,2023-10-15 09:05:18.004,16-Oct-2023,20.4083,ABMag,r - ZTF,2,['m2848'],F. Forster
