TNS_ID,RA,DEC,DiscoveryDate,ReportDate,Mag,MagUnit,Filter,Gal_match,miniST_name,miniST_RA,miniST_DEC,"GLADE_info [RA,DEC,Flag1,dist,z,sep(arcsec),sep(kpc)]","SDSS_info [RA,DEC,obj_class,dist,z,sep(arcsec),sep(kpc)]",Reporter
2024cis,08:51:48.256,+85:00:28.53,2024-02-12 07:52:19.200,2024-02-13,19.48,ABMag,r - ZTF,0,['m9530'],['08:39:13'],['+85:44:30'],[],[],C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration
2024cjm,11:36:07.942,+55:50:15.62,2024-02-12 11:42:13.997,2024-02-13,19.4362,ABMag,g - ZTF,0,['m8315'],['11:42:18'],['+55:44:54'],[],[],F. Forster
2024ckj,09:14:30.792,+59:51:05.35,2024-02-12 06:26:35.998,2024-02-13,20.3237,ABMag,g - ZTF,0,['m8577'],['09:10:03'],['+59:50:18'],[],[],F. Forster
