TNS_ID,RA,DEC,DiscoveryDate,ReportDate,Mag,MagUnit,Filter,Gal_match,miniST_name,miniST_RA,miniST_DEC,GLADE_info,SDSS_info,Reporter
2023vqq,20:17:21.318,+59:28:34.26,2023-10-16 03:53:14.001,23-Oct-2023,20.0992,ABMag,r - ZTF,0,['m8617'],['20:26:13'],['+59:50:18'],[],[],Julien Peloton
2023vqx,03:10:13.199,-03:01:44.30,2023-10-20 08:34:41.002,23-Oct-2023,20.6276,ABMag,r - ZTF,0,['m2009'],['03:11:40'],['-02:52:30'],[],[],F. Forster
