TNS_ID,RA,DEC,DiscoveryDate,ReportDate,Mag,MagUnit,Filter,Gal_match,miniST_name,miniST_RA,miniST_DEC,"GLADE_info [RA,DEC,Flag1,dist,z,sep(arcsec),sep(kpc)]","SDSS_info [RA,DEC,obj_class,dist,z,sep(arcsec),sep(kpc)]",Reporter
2023zvj,05:54:18.640,+78:31:22.66,2023-12-11 06:51:50.400,14-Dec-2023,18.4,ABMag,G - Gaia,0,['m9409'],['06:17:34'],['+78:55:30'],[],[],S.T. Hodgkin
2018mlp,11:26:18.255,+58:35:38.80,2018-11-07 12:12:57.600,14-Dec-2023,19.6,ABMag,r - ZTF,0,['m8498'],['11:31:00'],['+58:28:30'],[],[],C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration
