TNS_ID,RA,DEC,DiscoveryDate,ReportDate,Mag,MagUnit,Filter,Gal_match,miniST_name,miniST_RA,miniST_DEC,Reporter
2023xyd,03:14:13.433,-02:12:00.85,2023-11-17 09:21:27.360,18-Nov-2023,21.67,ABMag,w - P1,0,['m2009'],['03:11:40'],['-02:52:30'],K. C. Chambers
2023xyl,23:08:50.822,+04:00:45.72,2023-11-16 06:23:16.224,18-Nov-2023,20.58,ABMag,w - P1,0,['m2996'],['23:12:17'],['+03:56:30'],K. C. Chambers
