TNS_ID,RA,DEC,DiscoveryDate,ReportDate,Mag,MagUnit,Filter,Gal_match,miniST_name,miniST_RA,miniST_DEC,"GLADE_info [RA,DEC,Flag1,dist,z,sep(arcsec),sep(kpc)]","SDSS_info [RA,DEC,obj_class,dist,z,sep(arcsec),sep(kpc)]",Reporter
2024mbq,11:56:09.850,+31:53:23.83,2024-04-10 06:02:32.064,2024-06-23,20.41,ABMag,w - P1,0,['m6264' 'm6263'],['12:01:00' '11:50:56'],['+32:34:18' '+32:34:18'],[],[],K. C. Chambers
2024mea,12:04:54.391,+50:57:17.95,2024-03-18 09:34:50.016,2024-06-23,20.56,ABMag,w - P1,0,['m7909'],['12:05:06'],['+50:17:42'],[],[],K. C. Chambers
2024mew,11:42:12.876,+17:48:31.10,2024-04-08 06:13:09.696,2024-06-23,21.43,ABMag,w - P1,0,['m4577'],['11:39:43'],['+17:34:30'],[],[],K. C. Chambers
