TNS_ID,RA,DEC,DiscoveryDate,ReportDate,Mag,MagUnit,Filter,Gal_match,miniST_name,miniST_RA,miniST_DEC,Reporter
2023vhq,10:39:27.112,+12:48:47.39,2023-10-18 12:29:17.998,19-Oct-2023,20.0289,ABMag,r - ZTF,2,['m4080'],['10:42:18'],['+13:29:06'],A. Munoz-Arancibia
2023vie,23:29:39.616,+21:19:38.81,2023-10-14 08:07:48.000,19-Oct-2023,20.7664,ABMag,r - ZTF,2,['m5134'],['23:32:19'],['+21:39:54'],A. Munoz-Arancibia
