TNS_ID,RA,DEC,DiscoveryDate,ReportDate,Mag,MagUnit,Filter,Sep_arcsec,Sep_kpc,Gal_1_type,Gal_1_ABS_Mag,Gal_1_dist,Gal_1_info,Reporter,SDSS_image
2024jii,16:07:51.291,+48:45:23.09,2024-05-26 07:43:26.112,2024-05-28,19.82,ABMag,g - ZTF,2.2198593976193313,1.8573810335803516,DG_GALAXY_STARFORMING,8.475494967552102,172584.0561929671,"['SDSS_52054_PLATEID_622_FIBERID_215' '241.96446228027344'
 '48.75678253173828' 'DG_GALAXY_STARFORMING' '172584.0561929671'
 '2.2198593976193313' '1.8573810335803516']",J. Nordin,Yes
2024jiy,10:55:02.502,+49:43:34.21,2024-05-27 06:47:04.416,2024-05-28,18.577,ABMag,orange - ATLAS,6.157815938261819,0.5856794746704858,DG_GALAXY_STARBURST,9.738699978490414,19618.167314784583,"['SDSS_52669_PLATEID_876_FIBERID_143' '163.7611541748047'
 '49.727813720703125' 'DG_GALAXY_STARBURST' '19618.167314784583'
 '6.157815938261819' '0.5856794746704858']",J. Tonry,Yes
