TNS_ID,RA,DEC,DiscoveryDate,ReportDate,Mag,MagUnit,Filter,Sep_arcsec,Sep_kpc,Gal_1_type,Gal_1_ABS_Mag,Gal_1_dist,Gal_1_z,Gal_1_info,Reporter,SDSS_image
2023xwq,12:20:06.518,+31:23:02.59,2023-11-09 14:19:20.928,2023-11-17,18.245,ABMag,cyan - ATLAS,0.2870007421374494,0.3540491478086651,Galaxy,-18.783028334003557,254.45188165515958,0.05961,"['185.027144' '31.383974' 'Galaxy' '254.45188165515958' '0.05961'
 '0.2870007421374494' '0.3540491478086651']",J. Tonry,Yes
2023xxh,02:54:54.810,+06:25:43.05,2023-11-06 04:50:32.928,2023-11-17,18.805,ABMag,orange - ATLAS,0.5359545236274743,0.8268196408688913,Galaxy,-18.708539884704514,318.20571616996125,0.0748,"['43.728245' '6.428551' 'Galaxy' '318.20571616996125' '0.0748'
 '0.5359545236274743' '0.8268196408688913']",J. Tonry,No
2023xxn,02:50:38.351,+02:17:28.64,2023-11-10 09:02:26.880,2023-11-17,20.7,ABMag,w - P1,0.6773664806643507,1.636364725477817,Galaxy,-17.787407701497163,498.2892757191143,0.1183,"['42.659744' '2.291108' 'Galaxy' '498.2892757191143' '0.1183'
 '0.6773664806643507' '1.636364725477817']",K. C. Chambers,No
2023xwl,00:53:36.390,-05:15:43.40,2023-11-16 07:28:39.648,2023-11-17,21.57,ABMag,w - P1,0.7351216722698515,3.3763212312592334,Galaxy,-18.312548332229063,947.348270171207,0.231,"['13.40145' '-5.262162' 'Galaxy' '947.348270171207' '0.231'
 '0.7351216722698515' '3.3763212312592334']",K. C. Chambers,No
2023xws,01:37:01.179,-02:41:50.51,2023-11-16 07:36:31.392,2023-11-17,20.22,ABMag,w - P1,0.79327169398934,4.992962790553035,Galaxy,-20.34680752460946,1298.259487139645,0.3239,"['24.255103' '-2.697475' 'Galaxy' '1298.259487139645' '0.3239'
 '0.79327169398934' '4.992962790553035']",K. C. Chambers,No
2023xxa,23:50:00.701,+03:57:24.16,2023-11-16 06:33:59.040,2023-11-17,20.54,ABMag,w - P1,0.9278901536082484,6.235353933414659,Galaxy,-20.168948385294343,1386.0844043822292,0.3479,"['357.502795' '3.956486' 'Galaxy' '1386.0844043822292' '0.3479'
 '0.9278901536082484' '6.235353933414659']",K. C. Chambers,No
2023xwm,23:50:12.088,+02:40:05.10,2023-11-16 06:33:59.040,2023-11-17,20.21,ABMag,w - P1,1.1244353418889195,3.5353672773561016,Galaxy,-18.849625918300276,648.5227022771318,0.1553,"['357.550134' '2.668292' 'Galaxy' '648.5227022771318' '0.1553'
 '1.1244353418889195' '3.5353672773561016']",K. C. Chambers,No
2023xwu,02:33:10.922,+02:04:07.93,2023-11-16 09:08:20.256,2023-11-17,20.25,ABMag,w - P1,1.3152254444453897,5.770840435589648,Galaxy,-19.533319985939237,905.0321291716939,0.2201,"['38.295825' '2.069052' 'Galaxy' '905.0321291716939' '0.2201'
 '1.3152254444453897' '5.770840435589648']",K. C. Chambers,No
2023xww,23:36:13.507,+06:29:06.00,2023-11-16 06:29:57.984,2023-11-17,20.91,ABMag,w - P1,1.3858898419901169,4.370928473957727,Galaxy,-18.156350606725876,650.5341820856237,0.1558,"['354.055895' '6.48495' 'Galaxy' '650.5341820856237' '0.1558'
 '1.3858898419901169' '4.370928473957727']",K. C. Chambers,No
2023xwx,23:50:00.550,+07:30:28.41,2023-11-16 06:36:45.792,2023-11-17,20.79,ABMag,w - P1,2.5288958537727946,16.793181287064204,Galaxy,-19.893135825662675,1369.7053911136102,0.3434,"['357.502977' '7.50807' 'Galaxy' '1369.7053911136102' '0.3434'
 '2.5288958537727946' '16.793181287064204']",K. C. Chambers,No
2023xwv,01:38:51.665,-03:47:32.31,2023-11-16 07:36:31.392,2023-11-17,20.21,ABMag,w - P1,3.082517976641343,8.234057016711118,Galaxy,-18.49566692564543,550.9768922904033,0.1312,"['24.7147' '-3.791669' 'Galaxy' '550.9768922904033' '0.1312'
 '3.082517976641343' '8.234057016711118']",K. C. Chambers,No
2023xwn,02:35:40.866,+03:18:35.70,2023-11-16 09:08:20.256,2023-11-17,21.03,ABMag,w - P1,4.342949005932204,5.870312676080765,Galaxy,-16.196508186503678,278.80569288542506,0.0654,"['38.919067' '3.309886' 'Galaxy' '278.80569288542506' '0.0654'
 '4.342949005932204' '5.870312676080765']",K. C. Chambers,No
2023xwz,00:25:58.837,+25:02:20.73,2023-11-16 08:39:44.352,2023-11-17,20.75,ABMag,r - P1,4.487849407525864,9.01418440583473,Galaxy,-17.336566480100586,414.2984381034119,0.0979,"['6.496504' '25.03885' 'Galaxy' '414.2984381034119' '0.0979'
 '4.487849407525864' '9.01418440583473']",D. O. Jones (UC Santa Cruz),No
