TNS_ID,RA,DEC,DiscoveryDate,ReportDate,Mag,MagUnit,Filter,Sep_arcsec,Sep_kpc,Gal_1_type,Gal_1_ABS_Mag,Gal_1_dist,Gal_1_z,Gal_1_info,Reporter,SDSS_image
2023acee,01:01:43.268,+00:49:40.85,2023-12-30 05:07:39.360,2024-01-01,20.43,ABMag,w - P1,2.8331221521631567,12.141777084800918,Galaxy,-19.30221044286032,883.9792862473979,0.2147,"['15.429821' '0.827377' 'Galaxy' '883.9792862473979' '0.2147'
 '2.8331221521631567' '12.141777084800918']",K. C. Chambers,No
2023acge,01:13:29.991,+05:18:23.58,2023-12-30 05:43:58.368,2024-01-01,20.65,ABMag,w - P1,3.1399832087208206,11.714388450663519,Galaxy,-18.7810871435666,769.5156003978161,0.1856,"['18.374249' '5.307056' 'Galaxy' '769.5156003978161' '0.1856'
 '3.1399832087208206' '11.714388450663519']",K. C. Chambers,No
2023acfe,10:32:58.454,+03:19:48.36,2023-03-16 09:32:23.136,2024-01-01,21.55,ABMag,w - P1,3.2671785712213013,13.326034299303755,Galaxy,-18.07476593978507,841.3044536339586,0.2038,"['158.24395' '3.329281' 'Galaxy' '841.3044536339586' '0.2038'
 '3.2671785712213013' '13.326034299303755']",K. C. Chambers,No
2023aceu,13:17:20.979,+47:01:22.64,2023-12-30 14:44:45.888,2024-01-01,20.22,ABMag,i - P1,3.3023453891231305,7.813635362973076,Galaxy,-18.222278898417528,488.0404059351449,0.1158,"['199.336689' '47.023729' 'Galaxy' '488.0404059351449' '0.1158'
 '3.3023453891231305' '7.813635362973076']",K. C. Chambers,No
2023acel,23:11:05.276,+03:30:09.21,2023-12-30 05:10:15.744,2024-01-01,21.25,ABMag,w - P1,3.500235503498096,13.474660163804396,Galaxy,-18.24922844242898,794.0460478116024,0.1918,"['347.772785' '3.502006' 'Galaxy' '794.0460478116024' '0.1918'
 '3.500235503498096' '13.474660163804396']",K. C. Chambers,No
2023acej,01:40:30.396,-06:39:22.90,2023-12-30 05:19:44.256,2024-01-01,21.97,ABMag,w - P1,3.6948389280628073,24.26769608588216,Galaxy,-18.689290850158066,1354.7469128536532,0.3393,"['25.127497' '-6.656949' 'Galaxy' '1354.7469128536532' '0.3393'
 '3.6948389280628073' '24.26769608588216']",K. C. Chambers,No
2023acea,12:17:31.591,+04:53:21.35,2023-12-29 15:30:19.584,2024-01-01,19.55,ABMag,r - P1,3.9549871402524266,5.2161863428725646,Galaxy,-17.623165775954316,272.0402436783343,0.06379,"['184.380867' '4.88847' 'Galaxy' '272.0402436783343' '0.06379'
 '3.9549871402524266' '5.2161863428725646']",D. O. Jones (UC Santa Cruz),Yes
2023acet,00:56:46.045,-00:22:10.87,2023-12-30 05:07:39.360,2024-01-01,20.02,ABMag,w - P1,4.117104887117242,10.134801450059925,Galaxy,-18.50824223437508,507.74826359769634,0.12061,"['14.191595' '-0.3708' 'Galaxy' '507.74826359769634' '0.12061'
 '4.117104887117242' '10.134801450059925']",K. C. Chambers,Yes
2023acdu,11:16:12.893,+48:56:53.12,2023-12-29 12:36:24.192,2024-01-01,19.45,ABMag,i - P1,4.154246501435377,9.461271454967212,Galaxy,-18.90941186735844,469.7668573262532,0.11135,"['169.052664' '48.947167' 'Galaxy' '469.7668573262532' '0.11135'
 '4.154246501435377' '9.461271454967212']",K. C. Chambers,Yes
2023acff,08:10:01.479,+29:42:25.20,2023-01-16 09:05:55.968,2024-01-01,20.13,ABMag,w - P1,4.847679141391208,7.601371252413533,Galaxy,-17.418916051370555,323.43216679574357,0.07605,"['122.504836' '29.707697' 'Galaxy' '323.43216679574357' '0.07605'
 '4.847679141391208' '7.601371252413533']",K. C. Chambers,No
