TNS_ID,RA,DEC,DiscoveryDate,ReportDate,Mag,MagUnit,Filter,Sep_arcsec,Sep_kpc,Gal_1_type,Gal_1_ABS_Mag,Gal_1_dist,Gal_1_z,Gal_1_info,Gal_2_type,Gal_2_ABS_Mag,Gal_2_dist,Gal_2_z,Gal_2_info,Gal_3_type,Gal_3_ABS_Mag,Gal_3_dist,Gal_3_z,Gal_3_info,Reporter,SDSS_image
2024ehz,14:49:35.368,+23:14:18.91,2024-02-11 10:19:12.000,2024-03-17,20.31,ABMag,g - ZTF,0.2200000290546754,1.4927155494136268,Galaxy,-20.419897259187092,1399.5211042145372,0.3516,"['222.397361' '23.238647' 'Galaxy' '1399.5211042145372' '0.3516'
 '0.2200000290546754' '1.4927155494136268']",,,,,,,,,,,C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration,No
2024ems,10:48:09.711,+56:54:59.88,2024-03-14 10:17:43.872,2024-03-17,18.702,ABMag,orange - ATLAS,0.4651999252304046,0.4463932727537203,Galaxy,-17.780515690020533,197.92613223811054,0.04623,"['162.040398' '56.916509' 'Galaxy' '197.92613223811054' '0.04623'
 '0.4651999252304046' '0.4463932727537203']",Galaxy,-2.4880920294567765,0.17298896723424628,4e-05,"['162.040166' '56.915894' 'Galaxy' '0.17298896723424628' '4e-05'
 '2.724628757472759' '0.0022850757888544715']",,,,,,J. Tonry,Yes
2024ejz,13:37:40.690,+01:17:42.65,2024-03-15 09:51:08.064,2024-03-17,18.989,ABMag,orange - ATLAS,0.4898261837851703,0.8793482278691365,Galaxy,-18.853720145679834,370.291743982394,0.08729,"['204.419621' '1.29507' 'Galaxy' '370.291743982394' '0.08729'
 '0.4898261837851703' '0.8793482278691365']",,,,,,,,,,,J. Tonry,Yes
2024ekp,07:02:57.774,+29:31:12.98,2024-03-15 06:50:22.272,2024-03-17,19.24,ABMag,orange - ATLAS,0.5327966828654273,0.9941580701882751,Galaxy,-18.686595316003984,384.87443397045735,0.0908,"['105.740883' '29.520327' 'Galaxy' '384.87443397045735' '0.0908'
 '0.5327966828654273' '0.9941580701882751']",,,,,,,,,,,J. Tonry,No
2024ejj,08:11:02.444,+09:55:40.73,2024-03-11 19:48:59.616,2024-03-17,19.543,ABMag,cyan - ATLAS,0.5994123261910289,1.667325635274499,Galaxy,-19.250599456336104,573.7462912938818,0.1368,"['122.760215' '9.927817' 'Galaxy' '573.7462912938818' '0.1368'
 '0.5994123261910289' '1.667325635274499']",,,,,,,,,,,J. Tonry,No
2024ejn,14:24:52.819,+19:26:06.90,2024-03-15 11:45:14.400,2024-03-17,19.019,ABMag,orange - ATLAS,0.6428157564616395,0.8701955258534267,Galaxy,-18.21077732848594,279.22574972425315,0.0655,"['216.219993' '19.435409' 'Galaxy' '279.22574972425315' '0.0655'
 '0.6428157564616395' '0.8701955258534267']",,,,,,,,,,,J. Tonry,No
2024eic,12:48:20.008,+21:50:45.16,2024-03-15 23:09:01.440,2024-03-17,19.93,ABMag,L - GOTO,0.6729940736014898,2.7769852750974287,Galaxy,-19.71993735131427,851.1134825552316,0.2063,"['192.083349' '21.846064' 'Galaxy' '851.1134825552316' '0.2063'
 '0.6729940736014898' '2.7769852750974287']",,,,,,,,,,,K. Ulaczyk,No
2024ekv,11:18:31.960,+30:34:54.84,2024-03-15 10:23:44.160,2024-03-17,19.42,ABMag,orange - ATLAS,0.7361617189096916,2.4235153003158114,Galaxy,-19.739488345333356,679.0436136513092,0.1629,"['169.633112' '30.581701' 'Galaxy' '679.0436136513092' '0.1629'
 '0.7361617189096916' '2.4235153003158114']",,,,,,,,,,,J. Tonry,No
2024eiu,10:18:31.338,+41:43:17.33,2024-03-15 09:12:10.944,2024-03-17,19.056,ABMag,orange - ATLAS,0.7633392486468256,1.2939525608822156,Galaxy,-18.662129472529156,349.6438506521471,0.08233,"['154.630835' '41.721566' 'Galaxy' '349.6438506521471' '0.08233'
 '0.7633392486468256' '1.2939525608822156']",,,,,,,,,,,J. Tonry,Yes
2024ehv,12:54:43.602,+36:43:57.28,2024-02-29 10:56:38.400,2024-03-17,19.78,ABMag,g - ZTF,0.832973866526795,2.5815825620479096,Galaxy,-19.248398879191825,639.2633050973789,0.153,"['193.681569' '36.732793' 'Galaxy' '639.2633050973789' '0.153'
 '0.832973866526795' '2.5815825620479096']",,,,,,,,,,,C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration,No
