TNS_ID,RA,DEC,DiscoveryDate,ReportDate,Mag,MagUnit,Filter,Sep_arcsec,Sep_kpc,Gal_1_type,Gal_1_ABS_Mag,Gal_1_dist,Gal_1_z,Gal_1_info,Gal_2_type,Gal_2_ABS_Mag,Gal_2_dist,Gal_2_z,Gal_2_info,Gal_3_type,Gal_3_ABS_Mag,Gal_3_dist,Gal_3_z,Gal_3_info,Reporter,SDSS_image
2024dih,17:28:54.260,+27:05:23.36,2024-02-28 11:45:36.000,2024-02-29,18,ABMag,g - ZTF,0.20071446865786247,0.1137946537376714,Galaxy,-17.339841559002004,116.94140618717982,0.0272,"['262.22603' '27.089793' 'Galaxy' '116.94140618717982' '0.0272'
 '0.20071446865786247' '0.1137946537376714']",Galaxy,-21.898454565120034,954.3131604943841,0.2328,"['262.225586' '27.091266' 'Galaxy' '954.3131604943841' '0.2328'
 '5.436523814375432' '25.15284268629547']",Galaxy,-17.88362028230727,150.21871978732318,0.035,"['262.225155' '27.091431' 'Galaxy' '150.21871978732318' '0.035'
 '6.511165791859708' '4.741957716056758']",C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration,No
2024djg,16:38:38.138,+05:10:41.47,2024-02-28 11:33:48.997,2024-02-29,19.3722,ABMag,g - ZTF,0.24054371927505191,0.5370446061987799,Galaxy,-18.94400735262063,460.5125503511422,0.1091,"['249.658931' '5.178249' 'Galaxy' '460.5125503511422' '0.1091'
 '0.24054371927505191' '0.5370446061987799']",Galaxy,-21.662994029264176,1610.7895588811832,0.4108,"['249.658878' '5.180002' 'Galaxy' '1610.7895588811832' '0.4108'
 '6.538104565668353' '51.05820406509916']",,,,,,A. Munoz-Arancibia,No
2024dhm,08:11:20.591,+44:08:12.48,2024-02-17 09:11:31.200,2024-02-29,20.83,ABMag,g - ZTF,0.2536533716304499,0.7245190057457894,Galaxy,-18.021171380905066,589.1613873639716,0.1406,"['122.835894' '44.136799' 'Galaxy' '589.1613873639716' '0.1406'
 '0.2536533716304499' '0.7245190057457894']",,,,,,,,,,,C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration,No
2024dhs,10:05:43.979,+18:19:26.48,2024-02-28 06:46:04.800,2024-02-29,19.1,ABMag,r - ZTF,0.2816391751088664,0.8524972918457314,Galaxy,-19.877125388270052,624.3456319544769,0.1493,"['151.433318' '18.32406' 'Galaxy' '624.3456319544769' '0.1493'
 '0.2816391751088664' '0.8524972918457314']",,,,,,,,,,,C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration,No
2024dio,11:47:59.750,+03:32:02.95,2024-02-23 09:05:45.600,2024-02-29,18.98,ABMag,g - ZTF,0.2870935182922063,0.6724348046934071,Galaxy,-19.440259648558648,483.11656608050737,0.1146,"['176.998928' '3.534079' 'Galaxy' '483.11656608050737' '0.1146'
 '0.2870935182922063' '0.6724348046934071']",Galaxy,-22.58798813856504,2058.7216311568754,0.5433,"['176.99836' '3.535554' 'Galaxy' '2058.7216311568754' '0.5433'
 '5.483434127051115' '54.729959296076046']",Galaxy,-20.5640851759219,810.6194783590553,0.196,"['177.000673' '3.535557' 'Galaxy' '810.6194783590553' '0.196'
 '7.969545739773525' '31.32026799636464']",C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration,No
2024djx,16:44:56.720,+04:24:10.93,2024-02-28 11:35:31.200,2024-02-29,19.77,ABMag,g - ZTF,0.5684720740376568,1.077880676072383,Galaxy,-18.191433421700186,391.0989809382071,0.0923,"['251.236195' '4.403113' 'Galaxy' '391.0989809382071' '0.0923'
 '0.5684720740376568' '1.077880676072383']",,,,,,,,,,,C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration,No
2024dht,10:14:51.794,+07:48:56.49,2024-02-28 07:20:38.400,2024-02-29,19.16,ABMag,r - ZTF,0.7045878218033722,2.2661195782725874,Galaxy,-19.94886411796156,663.3959618344113,0.159,"['153.7157' '7.815528' 'Galaxy' '663.3959618344113' '0.159'
 '0.7045878218033722' '2.2661195782725874']",,,,,,,,,,,C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration,No
2024dif,15:15:50.505,+24:48:21.54,2024-02-28 10:35:02.400,2024-02-29,18.6,ABMag,g - ZTF,1.1683543496072288,1.7602395991062247,Galaxy,-18.862111701544983,310.7580161637813,0.07302,"['228.960731' '24.805798' 'Galaxy' '310.7580161637813' '0.07302'
 '1.1683543496072288' '1.7602395991062247']",,,,,,,,,,,C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration,Yes
2024djh,11:42:49.239,+03:51:06.28,2024-02-28 10:22:57.003,2024-02-29,18.9763,ABMag,g - ZTF,1.1789037846241515,3.809990431272614,Galaxy,-20.14305328108686,666.6082070136052,0.1598,"['175.704907' '3.85195' 'Galaxy' '666.6082070136052' '0.1598'
 '1.1789037846241515' '3.809990431272614']",,,,,,,,,,,A. Munoz-Arancibia,No
2024dji,10:23:39.806,+15:00:00.03,2024-02-28 07:20:15.996,2024-02-29,19.6886,ABMag,r - ZTF,1.2930687861667252,10.308658494968576,Galaxy,-21.391428287534744,1644.39314440593,0.4204,"['155.916125' '14.999758' 'Galaxy' '1644.39314440593' '0.4204'
 '1.2930687861667252' '10.308658494968576']",,,,,,,,,,,A. Munoz-Arancibia,No
2024dhq,14:01:19.122,+50:18:06.52,2024-02-24 13:13:18.624,2024-02-29,20.36,ABMag,i - P1,1.3047889916221902,11.864440162181202,Galaxy,-21.005660497739584,1875.5649127360848,0.4879,"['210.330172' '50.301986' 'Galaxy' '1875.5649127360848' '0.4879'
 '1.3047889916221902' '11.864440162181202']",Galaxy,-19.680060028615316,1018.6195465863113,0.2495,"['210.333297' '50.301098' 'Galaxy' '1018.6195465863113' '0.2495'
 '8.715438570048704' '43.040382144552545']",,,,,,D. O. Jones (UC Santa Cruz),No
2024djr,17:32:59.801,+22:22:56.91,2024-02-16 12:11:31.200,2024-02-29,20.65,ABMag,g - ZTF,1.3789506807288952,4.262920982628602,Galaxy,-18.372918411510277,637.6519355577279,0.1526,"['263.249575' '22.382391' 'Galaxy' '637.6519355577279' '0.1526'
 '1.3789506807288952' '4.262920982628602']",Galaxy,-21.063736225183966,2201.644755305373,0.5878,"['263.247963' '22.383538' 'Galaxy' '2201.644755305373' '0.5878'
 '5.550643327266478' '59.246872950286004']",,,,,,C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration,No
2024din,11:01:35.195,+09:23:11.49,2024-02-28 07:19:12.000,2024-02-29,18.76,ABMag,r - ZTF,1.8676068573601612,1.5342664694889323,Galaxy,-17.38520233596594,169.44956847688454,0.03952,"['165.39694' '9.386095' 'Galaxy' '169.44956847688454' '0.03952'
 '1.8676068573601612' '1.5342664694889323']",Galaxy,-inf,inf,inf,['165.397191' '9.388926' 'Galaxy' 'inf' 'inf' '8.857829153910906' 'inf'],,,,,,C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration,Yes
2024dhx,19:19:32.611,+62:54:22.52,2024-02-28 11:15:21.600,2024-02-29,18.7,ABMag,g - ZTF,2.162168746346411,4.4815539158576625,Galaxy,-19.454820866820445,427.52761628590537,0.1011,"['289.884602' '62.906106' 'Galaxy' '427.52761628590537' '0.1011'
 '2.162168746346411' '4.4815539158576625']",,,,,,,,,,,C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration,No
2024dhl,10:22:42.656,+16:11:25.62,2024-02-28 06:46:04.800,2024-02-29,18.02,ABMag,r - ZTF,2.2721193509665785,2.0849969157879285,Galaxy,-18.365497047964414,189.27768238735018,0.04419,"['155.677101' '16.190278' 'Galaxy' '189.27768238735018' '0.04419'
 '2.2721193509665785' '2.0849969157879285']",,,,,,,,,,,C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration,Yes
2024dip,06:18:34.619,+45:15:14.35,2024-02-28 08:06:52.704,2024-02-29,18.686,ABMag,orange - ATLAS,2.6513157534343423,4.55696313625345,Galaxy,-19.06219598119,354.51873929393264,0.0835,"['94.643502' '45.254504' 'Galaxy' '354.51873929393264' '0.0835'
 '2.6513157534343423' '4.55696313625345']",,,,,,,,,,,J. Tonry,No
2024did,16:49:35.749,+29:20:17.91,2024-02-16 12:10:04.800,2024-02-29,20.47,ABMag,g - ZTF,3.0422687426924706,6.4220702062748165,Galaxy,-17.72451303396899,435.41421842208354,0.10301,"['252.399495' '29.337607' 'Galaxy' '435.41421842208354' '0.10301'
 '3.0422687426924706' '6.4220702062748165']",,,,,,,,,,,C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration,Yes
