TNS_ID,RA,DEC,DiscoveryDate,ReportDate,Mag,MagUnit,Filter,Sep_arcsec,Sep_kpc,Gal_1_type,Gal_1_ABS_Mag,Gal_1_dist,Gal_1_z,Gal_1_info,Gal_2_type,Gal_2_ABS_Mag,Gal_2_dist,Gal_2_z,Gal_2_info,Reporter,SDSS_image
2024ath,14:19:19.575,+06:53:38.98,2024-01-22 15:07:25.824,2024-01-26,19.61,ABMag,w - P1,0.3072794014445774,1.1740856142574794,Galaxy,-19.872957258886217,788.1183723987151,0.1903,"['214.831569' '6.894076' 'Galaxy' '788.1183723987151' '0.1903'
 '0.3072794014445774' '1.1740856142574794']",,,,,,K. C. Chambers,No
2024auf,12:38:21.402,+07:42:58.80,2024-01-21 15:10:02.208,2024-01-26,20.17,ABMag,w - P1,0.40295784504307036,1.4428175406785932,Galaxy,-19.17188465684046,738.544947426546,0.1778,"['189.58922' '7.716436' 'Galaxy' '738.544947426546' '0.1778'
 '0.40295784504307036' '1.4428175406785932']",,,,,,K. C. Chambers,No
2024atp,03:47:42.075,+08:39:57.09,2024-01-17 04:59:31.200,2024-01-26,20.49,ABMag,r - ZTF,0.4955590724119573,1.1271512765455347,Galaxy,-17.866559545198637,469.1502034968038,0.1112,"['56.925185' '8.665803' 'Galaxy' '469.1502034968038' '0.1112'
 '0.4955590724119573' '1.1271512765455347']",,,,,,C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration,No
2024aug,10:34:07.544,+15:55:57.94,2024-01-21 10:06:36.000,2024-01-26,20.43,ABMag,w - P1,0.7368020005047871,4.991476510606076,Galaxy,-20.296516842621834,1397.3441095751723,0.351,"['158.531495' '15.932957' 'Galaxy' '1397.3441095751723' '0.351'
 '0.7368020005047871' '4.991476510606076']",Galaxy,-20.684709497077442,1670.8670681887002,0.428,"['158.53132' '15.934895' 'Galaxy' '1670.8670681887002' '0.428'
 '7.6920115983354895' '62.309848688628165']",K. C. Chambers,No
2024ati,12:24:54.537,+04:30:44.40,2024-01-21 15:08:07.296,2024-01-26,20.51,ABMag,w - P1,2.2950950591831836,4.917816077346408,Galaxy,-17.71698368776494,441.9740159669644,0.1046,"['186.227791' '4.512014' 'Galaxy' '441.9740159669644' '0.1046'
 '2.2950950591831836' '4.917816077346408']",,,,,,K. C. Chambers,No
2024atr,12:25:33.604,+09:23:28.36,2024-01-22 13:05:02.688,2024-01-26,19.72,ABMag,i - P1,2.578728406560412,5.019107804095141,Galaxy,-18.29823026351709,401.4634872431981,0.0948,"['186.389355' '9.391506' 'Galaxy' '401.4634872431981' '0.0948'
 '2.578728406560412' '5.019107804095141']",,,,,,D. O. Jones (UC Santa Cruz),No
2024aue,12:03:23.393,+03:05:17.37,2024-01-21 14:22:37.056,2024-01-26,21.72,ABMag,w - P1,3.3942926741612314,10.214448190696123,Galaxy,-17.24445378171596,620.7128787257531,0.1484,"['180.848371' '3.088443' 'Galaxy' '620.7128787257531' '0.1484'
 '3.3942926741612314' '10.214448190696123']",,,,,,K. C. Chambers,No
2024atg,14:16:59.976,+00:17:42.20,2024-01-22 14:45:36.864,2024-01-26,20.66,ABMag,w - P1,3.442215165787791,5.1427165737184675,Galaxy,-16.78389854778916,308.1624438307077,0.0724,"['214.249428' '0.294224' 'Galaxy' '308.1624438307077' '0.0724'
 '3.442215165787791' '5.1427165737184675']",,,,,,K. C. Chambers,No
2024atj,12:22:00.767,+00:30:14.43,2024-01-21 14:27:21.312,2024-01-26,21.28,ABMag,w - P1,4.575295525453566,18.71377366161337,Galaxy,-18.350836773057978,843.6597979465791,0.2044,"['185.502805' '0.502799' 'Galaxy' '843.6597979465791' '0.2044'
 '4.575295525453566' '18.71377366161337']",,,,,,K. C. Chambers,No
