TNS_ID,RA,DEC,DiscoveryDate,ReportDate,Mag,MagUnit,Filter,Sep_arcsec,Sep_kpc,Gal_1_type,Gal_1_ABS_Mag,Gal_1_dist,Gal_1_z,Gal_1_info,Reporter
2023zej,01:57:21.140,+27:35:06.96,2023-11-20 04:53:45.600,10-Dec-2023,19.94,ABMag,r - ZTF,0.802247939945216,1.4565457007925593,Galaxy,-17.927203191470053,374.4903561812795,0.0883,"['29.337946' '27.58508' 'Galaxy' '374.4903561812795' '0.0883'
 '0.802247939945216' '1.4565457007925593']",C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration
2023zfz*,10:44:57.629,+35:06:05.21,2023-12-09 08:41:16.800,10-Dec-2023,19.52,ABMag,r - ZTF,1.3175760180356413,2.3587048922522773,Galaxy,-18.316615298066875,369.2521728780062,0.08704,"['161.239875' '35.101753' 'Galaxy' '369.2521728780062' '0.08704'
 '1.3175760180356413' '2.3587048922522773']",C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration
2023zgr*,13:08:03.136,+03:51:14.95,2023-11-13 13:04:48.000,10-Dec-2023,17.86,ABMag,r - ZTF,1.45628437797113,2.1180375857050904,Galaxy,-19.52556302544312,299.9940251060529,0.07045,"['197.012673' '3.854056' 'Galaxy' '299.9940251060529' '0.07045'
 '1.45628437797113' '2.1180375857050904']",C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration
2023zgj,10:53:22.474,+36:49:17.67,2023-12-09 09:14:24.000,10-Dec-2023,20.22,ABMag,g - ZTF,1.5557066374786135,2.6927266813475748,Galaxy,-17.54344851086867,357.01766247105775,0.0841,"['163.343588' '36.821145' 'Galaxy' '357.01766247105775' '0.0841'
 '1.5557066374786135' '2.6927266813475748']",C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration
2023zhb,02:23:05.238,+00:19:20.05,2023-12-09 06:58:52.896,10-Dec-2023,20.53,ABMag,g - P1,1.6222061165375752,7.154516989036739,Galaxy,-19.264497089437597,909.7025621450434,0.2213,"['35.771943' '0.322671' 'Galaxy' '909.7025621450434' '0.2213'
 '1.6222061165375752' '7.154516989036739']",D. O. Jones (UC Santa Cruz)
2023zfv,11:53:50.677,+23:50:41.53,2023-12-09 09:41:45.600,10-Dec-2023,19.51,ABMag,r - ZTF,1.771193611441229,2.1339643853195276,Galaxy,-17.466731315645493,248.51136975718367,0.0582,"['178.461373' '23.84442' 'Galaxy' '248.51136975718367' '0.0582'
 '1.771193611441229' '2.1339643853195276']",C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration
2023zfx,10:28:01.978,+22:52:25.35,2023-12-09 10:00:28.800,10-Dec-2023,19.21,ABMag,r - ZTF,1.9481127890807635,3.6507114099744453,Galaxy,-18.725942694623257,386.5347457726073,0.0912,"['157.008711' '22.873383' 'Galaxy' '386.5347457726073' '0.0912'
 '1.9481127890807635' '3.6507114099744453']",C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration
2023zfu*,11:23:16.746,+33:56:46.94,2023-12-09 10:42:14.400,10-Dec-2023,19.01,ABMag,r - ZTF,2.0282188974666666,1.4691558797378794,Galaxy,-16.86189092949564,149.4094908892473,0.03481,"['170.819531' '33.946898' 'Galaxy' '149.4094908892473' '0.03481'
 '2.0282188974666666' '1.4691558797378794']",C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration
2023zff,09:04:00.800,+41:16:01.70,2023-12-09 07:42:14.400,10-Dec-2023,19.91,ABMag,r - ZTF,2.3806684413909975,3.0820832402882132,Galaxy,-17.222852910842693,267.03647234095314,0.0626,"['136.004151' '41.267383' 'Galaxy' '267.03647234095314' '0.0626'
 '2.3806684413909975' '3.0820832402882132']",C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration
2023zgb,10:09:54.090,+55:34:25.96,2023-12-09 07:22:04.800,10-Dec-2023,19.58,ABMag,g - ZTF,2.5533612381267794,8.187347607467872,Galaxy,-19.5222805073023,661.3876809572067,0.1585,"['152.476399' '55.573468' 'Galaxy' '661.3876809572067' '0.1585'
 '2.5533612381267794' '8.187347607467872']",C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration
2023zfc,04:30:00.235,-05:36:22.38,2023-12-08 10:39:42.336,10-Dec-2023,21.13,ABMag,w - P1,3.0927017942653348,8.200197379257874,Galaxy,-17.559556964404994,546.9043691105611,0.1302,"['67.500326' '-5.605655' 'Galaxy' '546.9043691105611' '0.1302'
 '3.0927017942653348' '8.200197379257874']",K. C. Chambers
2023zel,07:46:28.043,+84:05:26.07,2023-12-09 04:49:26.400,10-Dec-2023,19.86,ABMag,g - ZTF,3.329384392084904,4.805087147180367,Galaxy,-17.508812312762686,297.68877747525215,0.0699,"['116.619893' '84.091445' 'Galaxy' '297.68877747525215' '0.0699'
 '3.329384392084904' '4.805087147180367']",C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration
2023zgi,08:54:45.985,+14:13:53.74,2023-12-09 08:57:07.200,10-Dec-2023,19.54,ABMag,r - ZTF,3.630913531726949,10.228350724462327,Galaxy,-19.281074189817616,581.0517826983462,0.1386,"['133.691821' '14.230608' 'Galaxy' '581.0517826983462' '0.1386'
 '3.630913531726949' '10.228350724462327']",C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration
2023zga,11:38:16.791,+65:19:49.00,2023-12-09 09:17:16.800,10-Dec-2023,19.54,ABMag,g - ZTF,3.67623092412847,8.647095129949825,Galaxy,-18.889462930211742,485.1684887070869,0.1151,"['174.567671' '65.32992' 'Galaxy' '485.1684887070869' '0.1151'
 '3.67623092412847' '8.647095129949825']",C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration
2023zgu,05:14:59.064,-00:55:40.99,2023-12-08 10:30:33.696,10-Dec-2023,21.02,ABMag,w - P1,3.932048685126431,8.181502669066075,Galaxy,-17.143196615617914,429.1798494891535,0.1015,"['78.745088' '-0.928464' 'Galaxy' '429.1798494891535' '0.1015'
 '3.932048685126431' '8.181502669066075']",K. C. Chambers
2023zft,10:28:28.149,+45:30:48.68,2023-12-09 08:42:43.200,10-Dec-2023,18.48,ABMag,r - ZTF,4.210290491179367,13.311585963448307,Galaxy,-20.59171436515651,652.1430541175196,0.1562,"['157.117154' '45.514688' 'Galaxy' '652.1430541175196' '0.1562'
 '4.210290491179367' '13.311585963448307']",C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration
2023zgw,10:27:20.978,+55:31:17.75,2023-12-09 13:40:54.912,10-Dec-2023,20.62,ABMag,i - P1,4.484420834042631,15.26785341547755,Galaxy,-18.612483766523514,702.2580937805666,0.1687,"['156.839555' '55.521871' 'Galaxy' '702.2580937805666' '0.1687'
 '4.484420834042631' '15.26785341547755']",D. O. Jones (UC Santa Cruz)
2023zfa*,09:24:55.786,+13:02:39.74,2023-12-08 13:16:07.104,10-Dec-2023,19.95,ABMag,w - P1,4.763614344691494,7.868821343413561,Galaxy,-17.711991119228717,340.720468196228,0.08019,"['141.232445' '13.043049' 'Galaxy' '340.720468196228' '0.08019'
 '4.763614344691494' '7.868821343413561']",K. C. Chambers
