TNS_ID,RA,DEC,DiscoveryDate,ReportDate,Mag,MagUnit,Filter,Sep_arcsec,Sep_kpc,Gal_1_type,Gal_1_ABS_Mag,Gal_1_dist,Gal_1_z,Gal_1_info,Reporter,SDSS_image
2024ffx,14:12:38.952,+13:40:36.06,2024-03-31 12:54:02.592,2024-04-01,19.39,ABMag,i - P1,1.6266901144007724,3.080770702739214,Galaxy,-18.56889840684974,390.6426715546459,0.09219,"['213.162544' '13.677068' 'Galaxy' '390.6426715546459' '0.09219'
 '1.6266901144007724' '3.080770702739214']",D. O. Jones (UC Santa Cruz),Yes
2024fgi,08:21:05.722,+04:58:21.17,2024-03-29 06:44:28.896,2024-04-01,19.139,ABMag,orange - ATLAS,2.2846141606087653,4.124881917161427,Galaxy,-18.716118946818877,372.4121053265669,0.0878,"['125.273218' '4.972418' 'Galaxy' '372.4121053265669' '0.0878'
 '2.2846141606087653' '4.124881917161427']",J. Tonry,No
2018mng,23:15:32.988,+27:53:42.83,2018-05-21 00:00:00.000,2024-04-01,19.44,ABMag,g - ZTF,3.839448987172883,37.88446042478845,Galaxy,-22.10308668797708,2035.248004468405,0.5361,"['348.887683' '27.896277' 'Galaxy' '2035.248004468405' '0.5361'
 '3.839448987172883' '37.88446042478845']",A. Baluta (MSU) and T. Pshenichniy (MSU) on behalf of the Fink broker report the discovery of a new...,No
2024fgb,08:29:05.635,+00:51:51.07,2024-03-31 07:34:58.944,2024-04-01,18.82,ABMag,cyan - ATLAS,4.0437627883706435,6.966570885568448,Galaxy,-18.933292610865458,355.35180205587324,0.0837,"['127.274595' '0.864056' 'Galaxy' '355.35180205587324' '0.0837'
 '4.0437627883706435' '6.966570885568448']",J. Tonry,No
2024ffz,15:29:57.549,+07:26:40.61,2024-03-31 11:56:43.872,2024-04-01,18.574,ABMag,orange - ATLAS,6.868315939603796,15.690453383089032,Galaxy,-19.79205180901675,471.20551174733396,0.1117,"['232.491031' '7.443158' 'Galaxy' '471.20551174733396' '0.1117'
 '6.868315939603796' '15.690453383089032']",J. Tonry,Yes
2024fgp,08:12:34.810,-06:55:35.76,2024-03-19 21:21:36.000,2024-04-01,18.41,ABMag,G - Gaia,9.435226849221193,8.912264555521345,Galaxy,-18.038304283726884,194.8322548383241,0.0455,"['123.142404' '-6.926486' 'Galaxy' '194.8322548383241' '0.0455'
 '9.435226849221193' '8.912264555521345']",S.T. Hodgkin,No
