TNS_ID,RA,DEC,DiscoveryDate,ReportDate,Mag,MagUnit,Filter,Sep_arcsec,Sep_kpc,Gal_1_type,Gal_1_ABS_Mag,Gal_1_dist,Gal_1_z,Gal_1_info,Gal_2_type,Gal_2_ABS_Mag,Gal_2_dist,Gal_2_z,Gal_2_info,Reporter,SDSS_image
2019aauy,17:00:56.609,+46:23:25.77,2019-05-05 09:59:11.999,2024-06-28,19.1816,ABMag,g - ZTF,0.07014596979369325,0.052244449588602054,Galaxy,-16.750712837169207,153.6252375469038,0.0358,"['255.235843' '46.390495' 'Galaxy' '153.6252375469038' '0.0358'
 '0.07014596979369325' '0.052244449588602054']",,,,,,Jesper Sollerman (SU),No
2024mxo,16:13:38.372,+41:32:52.78,2024-06-22 07:24:31.999,2024-06-28,20.0502,ABMag,g - ZTF,0.18742660784736145,0.5459518338194552,Galaxy,-18.843541085633607,600.825307124082,0.14348,"['243.409835' '41.547957' 'Galaxy' '600.825307124082' '0.14348'
 '0.18742660784736145' '0.5459518338194552']",,,,,,Jesper Sollerman (SU),Yes
2024mxk,09:46:47.105,+43:31:22.07,2024-06-25 04:13:42.003,2024-06-28,19.5732,ABMag,r - ZTF,0.609153362478208,1.6189995184525776,Galaxy,-19.12152603447641,548.2077954900614,0.13052,"['146.696077' '43.522703' 'Galaxy' '548.2077954900614' '0.13052'
 '0.609153362478208' '1.6189995184525776']",Galaxy,-20.04344223005448,838.1629240649146,0.203,"['146.696083' '43.52397' 'Galaxy' '838.1629240649146' '0.203'
 '4.250374815787882' '17.27151930917197']",Jesper Sollerman (SU),Yes
2024mxw,01:32:29.395,+32:22:03.26,2024-06-26 14:12:08.928,2024-06-28,18.474,ABMag,orange - ATLAS,0.6101588842468334,0.7413626399666773,Galaxy,-18.52106445237506,250.61836390063382,0.0587,"['23.122296' '32.367503' 'Galaxy' '250.61836390063382' '0.0587'
 '0.6101588842468334' '0.7413626399666773']",,,,,,J. Tonry,No
2024myx,16:51:13.992,+37:23:21.20,2024-06-23 06:22:48.000,2024-06-28,20.514,ABMag,g - ZTF,0.8807685357477414,3.856252183318035,Galaxy,-19.264643843847498,903.085291009974,0.2196,"['252.808531' '37.389384' 'Galaxy' '903.085291009974' '0.2196'
 '0.8807685357477414' '3.856252183318035']",,,,,,I. Pérez-Fournon,No
2024mxn,15:25:11.753,+58:22:19.48,2024-06-27 05:09:22.996,2024-06-28,19.0865,ABMag,g - ZTF,1.0045714102822554,1.2482815436566328,Galaxy,-17.957284341920484,256.3048760047707,0.06005,"['231.299083' '58.371805' 'Galaxy' '256.3048760047707' '0.06005'
 '1.0045714102822554' '1.2482815436566328']",,,,,,Jesper Sollerman (SU),Yes
2024mxl,09:57:14.839,+36:03:20.45,2024-06-26 04:18:01.998,2024-06-28,19.1156,ABMag,r - ZTF,1.0390787084600157,0.9075444389688307,Galaxy,-17.162622936258927,180.1542812263683,0.04204,"['149.311918' '36.055401' 'Galaxy' '180.1542812263683' '0.04204'
 '1.0390787084600157' '0.9075444389688307']",,,,,,Jesper Sollerman (SU),Yes
2024myq,15:27:29.508,-13:35:11.36,2024-06-25 21:33:57.312,2024-06-28,19.84,ABMag,L - GOTO,1.1498493145624389,2.8371226812990775,Galaxy,-18.693311591152348,508.9349993411447,0.1209,"['231.873112' '-13.586211' 'Galaxy' '508.9349993411447' '0.1209'
 '1.1498493145624389' '2.8371226812990775']",,,,,,B. Gompertz,No
2024myg,23:55:44.975,+06:29:29.82,2024-06-20 14:18:19.584,2024-06-28,20.95,ABMag,w - P1,1.5378786717917363,5.047900404851334,Galaxy,-18.203069184771483,677.0392346959384,0.1624,"['358.937738' '6.491358' 'Galaxy' '677.0392346959384' '0.1624'
 '1.5378786717917363' '5.047900404851334']",,,,,,K. C. Chambers,No
2024mye,14:46:24.565,+23:57:00.96,2024-06-27 10:42:23.904,2024-06-28,19.73,ABMag,L - GOTO,1.646163840220263,6.469414233704282,Galaxy,-19.8140851759219,810.6194783590553,0.196,"['221.601854' '23.950279' 'Galaxy' '810.6194783590553' '0.196'
 '1.646163840220263' '6.469414233704282']",,,,,,T. Killestein,No
2024mys,12:08:57.373,+13:02:10.24,2024-06-27 07:49:40.224,2024-06-28,18.492,ABMag,orange - ATLAS,1.853269703927293,2.5118360672853486,Galaxy,-18.74038899546142,279.561781340147,0.06558,"['182.238573' '13.035965' 'Galaxy' '279.561781340147' '0.06558'
 '1.853269703927293' '2.5118360672853486']",,,,,,J. Tonry,Yes
2024myh,13:28:48.478,+66:34:59.60,2024-06-27 05:50:22.000,2024-06-28,19.598,ABMag,g - ZTF,2.165590741595634,2.9483702625483974,Galaxy,-17.644153846732777,280.8217680591888,0.06588,"['202.200916' '66.582799' 'Galaxy' '280.8217680591888' '0.06588'
 '2.165590741595634' '2.9483702625483974']",,,,,,I. Pérez-Fournon,No
2024mxp,16:45:40.319,+32:05:29.45,2024-06-25 05:38:29.996,2024-06-28,19.4621,ABMag,g - ZTF,2.181375584011789,1.7119899135588796,Galaxy,-16.5838794350776,161.88100316343602,0.03774,"['251.417352' '32.09125' 'Galaxy' '161.88100316343602' '0.03774'
 '2.181375584011789' '1.7119899135588796']",,,,,,Jesper Sollerman (SU),Yes
2024myd,21:19:48.417,-01:56:59.08,2024-06-15 10:03:47.001,2024-06-28,20.6417,ABMag,g - ZTF,2.3579927855429967,6.503275832091562,Galaxy,-18.133374179374776,568.8723636836597,0.1356,"['319.95123' '-1.94933' 'Galaxy' '568.8723636836597' '0.1356'
 '2.3579927855429967' '6.503275832091562']",,,,,,Jesper Sollerman (SU),No
2024myi,22:10:05.638,+21:17:02.15,2024-06-27 08:47:49.004,2024-06-28,19.6838,ABMag,r - ZTF,2.7404384760715046,5.998030515973305,Galaxy,-18.589268738583538,451.45425195492516,0.1069,"['332.523838' '21.28462' 'Galaxy' '451.45425195492516' '0.1069'
 '2.7404384760715046' '5.998030515973305']",,,,,,Jesper Sollerman (SU),No
2024mzf,23:51:46.683,+03:16:33.96,2024-06-19 13:52:03.648,2024-06-28,21.24,ABMag,w - P1,3.425413884644391,7.216475139640935,Galaxy,-16.95018599626891,434.5474434986157,0.1028,"['357.945344' '3.275635' 'Galaxy' '434.5474434986157' '0.1028'
 '3.425413884644391' '7.216475139640935']",,,,,,K. C. Chambers,No
2024myw,12:04:46.068,+09:25:19.66,2024-06-27 07:48:21.600,2024-06-28,17.898,ABMag,orange - ATLAS,3.469332320147575,2.5510022148511418,Galaxy,-18.006450334237403,151.66664044334362,0.03534,"['181.191055' '9.422514' 'Galaxy' '151.66664044334362' '0.03534'
 '3.469332320147575' '2.5510022148511418']",,,,,,J. Tonry,Yes
