tns_name,objectId,type,g_minus_r_mean,g_minus_r_latest,g,r,latest_utc,N_obs,N_obs_14_day,rising,fading,sherlock,offsetArcsec,g_max,r_max,g_host,r_host,g_minus_r_host,sg_score,disc_mjd,latest_mjd,ra,decl
2023xsn,ZTF23aawylfh,,0.1,-0.11,19.552,19.6638,2023-12-12T03:37:16.999694,4.0,2.0,rising/peak,,VS,0.15,19.552,19.6638,19.0391,18.7751,0.26,0.367533,60260.2,60290.2,340.97294265,-14.661847999999999
2023xss,ZTF23abpyeqm,,0.61,0.49,19.7512,19.261,2023-11-14T10:03:37.998725,2.0,2.0,rising/peak,,NT,1.47,19.7512,19.261,18.7741,18.4471,0.33,0.050375,60258.4,60262.4,74.3941322,-22.842741975000003
2023xtf,ZTF23abqvnik,SN Ia,,,,18.2433,2023-12-18T10:41:50.000656,4.0,4.0,,fading,SN,6.25,,18.0387,-999.0,-999.0,0.0,0.826292,60287.3,60296.4,114.40060846666667,38.5172387
2023xti,ZTF23abpzrxi,,0.67,0.66,20.8975,20.2397,2023-12-14T11:56:46.999679,2.0,2.0,,fading,SN,0.76,20.4878,20.0351,19.9794,19.6938,0.29,0.005,60287.3,60292.5,122.01981305714285,57.555770828571426
2023xtj,ZTF23abpncma,,-0.08,-0.3,19.7161,20.0154,2023-11-14T11:14:01.999671,1.0,1.0,rising/peak,,SN,3.56,19.7161,19.9358,20.7406,20.0228,0.72,0.00375,60253.4,60262.5,122.3691376875,4.994975912499999
2023xtu,ZTF23abqjmyj,,1.09,0.93,20.7638,19.8359,2023-12-15T09:08:42.002883,4.0,4.0,,fading,SN,1.76,20.7638,19.4941,19.3247,18.364,0.96,0.00583333,60287.3,60293.4,71.53441114,8.391470080000001
2023xtw,ZTF23abphonx,,0.23,-0.03,19.5891,19.6161,2023-11-20T04:45:46.995826,13.0,11.0,rising/peak,,VS,0.9,19.5891,19.5637,19.122,18.2934,0.83,0.11825,60253.2,60268.2,22.81019196153846,5.379463176923077
2023xty,ZTF20acpwxka,,,,20.6588,,2021-03-07T05:06:44.997131,,,,,NT,0.94,20.6588,,19.1919,18.3258,0.87,0.00125,59165.4,59280.2,121.7543462,47.4594652
2023xty,ZTF23abpbgwy,,,,19.7816,,2023-11-14T10:26:02.002578,2.0,2.0,,,NT,1.38,19.7565,,19.1919,18.3258,0.87,0.00125,60258.4,60262.4,121.75356269999999,47.459756666666664
2023xtz,ZTF23abpwkhp,,-0.18,0.23,19.9751,19.7436,2023-11-14T11:24:17.997131,4.0,4.0,,,SN,0.54,19.8985,19.7436,19.9997,19.8525,0.15,0.00125,60252.4,60262.5,102.48229085,64.46407888750001
2023xuf,ZTF23abqmkaw,,-0.16,-0.14,19.7609,19.9042,2023-11-15T11:58:25.996810,1.0,1.0,,,SN,0.21,19.5652,19.9042,21.7093,21.48,0.23,,60252.5,60263.5,163.55693312,8.463763940000002
2023xug,ZTF23abpncde,,0.1,0.26,19.7761,19.5179,2023-11-14T10:36:24.998397,5.0,5.0,,fading,SN,0.77,19.5501,19.5179,19.0274,18.5855,0.44,0.00520833,60255.5,60262.4,140.35490408,16.1737237
2023xuh,ZTF23abohrpl,,0.82,0.86,20.2801,19.4235,2023-11-12T10:20:15.996490,4.0,4.0,,,NT,1.36,20.1255,19.3378,18.7367,18.3177,0.42,0.0212083,60250.4,60260.4,130.783615175,11.085216599999999
2023xul,ZTF23aboekkt,,-0.01,-0.52,19.6215,20.1392,2023-11-06T03:34:07.999671,7.0,4.0,rising/peak,,NT,0.31,19.6215,20.1392,20.2584,19.5682,0.69,,60226.2,60254.1,325.04354427272733,-7.491325209090909
