tns_name,objectId,type,g_minus_r_mean,g_minus_r_latest,g,r,latest_utc,N_obs,N_obs_14_day,rising,fading,sherlock,offsetArcsec,g_max,r_max,g_host,r_host,g_minus_r_host,sg_score,disc_mjd,latest_mjd,ra,decl
2023xqb,ZTF18aaewypg,,,,,19.3054,2023-11-12T09:29:37.999687,2.0,2.0,,,NT,1.24,,19.3054,18.5603,17.6885,0.87,0.0170833,60258.4,60260.4,118.20229,15.3092002
2023xqb,ZTF23abqmhxm,,0.88,1.06,20.284,19.2204,2023-11-14T11:14:42.996467,5.0,5.0,,fading,NT,1.26,20.0357,19.2204,18.5603,17.6885,0.87,0.0170833,60258.4,60262.5,118.20224625000002,15.309234083333331
2023xqh,ZTF23abqckls,,,,,20.7168,2023-12-14T02:55:07.000305,1.0,1.0,,fading,SN,3.67,,19.4123,19.001,18.7183,0.28,0.00333333,60268.2,60292.1,32.342397950000006,31.8413269
2023xqj,ZTF23abqbrxr,,0.33,0.6,19.9658,19.3616,2023-12-13T04:22:18.001899,12.0,9.0,,fading,SN,3.79,19.3891,18.7697,18.4792,17.6821,0.8,0.0386667,60261.2,60291.2,12.2801124,25.751122352941177
2023xqn,ZTF23abqohgc,SN Ia,0.46,0.64,18.3074,17.6687,2023-12-13T04:20:57.001937,5.0,5.0,,fading,SN,2.53,17.8785,17.5826,16.357,12.788,3.57,0.164024,60287.1,60291.2,2.0421725200000003,27.00367564
2023xqr,ZTF23abqkyim,,-0.03,-0.11,19.4977,19.6034,2023-12-12T09:31:32.998062,4.0,2.0,,fading,SN,0.08,19.4977,19.378,19.8689,19.1432,0.73,0.0727143,60261.4,60290.4,91.329694675,-14.210742849999999
2023xqs,ZTF23abqkzbs,,-0.63,-0.57,19.8806,20.4532,2023-11-14T10:04:19.004173,3.0,3.0,,,SN,1.31,19.758,20.4532,19.0602,19.2615,-0.2,0.5,60259.4,60262.4,73.27656276666667,-17.287714066666666
2023xqv,ZTF23abilnah,,0.34,0.6,19.9778,19.374,2023-11-13T03:43:52.003181,11.0,4.0,,fading,SN,4.07,19.4355,19.1624,18.3519,17.8398,0.51,0.189173,60232.2,60261.2,3.98247286,11.620346746666666
2023xqz,ZTF19abpgjvo,,,,,19.5406,2023-12-16T06:33:35.997108,,,,,SN,0.76,,19.4709,18.0596,17.905,0.15,0.0419881,60288.2,60294.3,36.187599766666665,32.200294533333334
2023xre,ZTF23abqweoo,,1.73,1.77,19.5688,17.8019,2023-12-12T12:28:15.003845,3.0,1.0,,,SN,0.48,19.4984,17.7815,21.0039,20.7703,0.23,0.0614762,60261.5,60290.5,201.1937452,1.8133802199999998
2023xrf,ZTF22abvvthu,,,,,19.2418,2022-11-21T12:59:10.996795,,,,,NT,1.08,,19.2418,17.6661,17.0295,0.64,0.0962381,59904.5,59904.5,185.4624792,-12.9829707
2023xrf,ZTF23abqwfuc,,,,,18.7323,2023-12-10T12:32:57.998405,5.0,1.0,,fading,SN,1.88,,17.8913,17.6661,17.0295,0.64,0.0962381,60261.5,60288.5,185.46324583333333,-12.982957083333334
2023xrg,ZTF23abqwfmg,,,,,18.9233,2023-11-13T13:13:25.000328,3.0,3.0,,fading,SN,2.84,,18.713,17.7706,17.7693,0.0,0.0697917,60261.5,60261.6,187.37907699999997,-7.1919207
2023xrh,ZTF23abqwfez,,1.67,1.21,20.0239,18.8155,2023-12-13T12:55:47.999984,5.0,2.0,,fading,NT,1.13,19.7262,17.9087,19.9829,19.6152,0.37,0.005,60261.5,60291.5,212.45297035714287,15.893956985714285
2023xrj,ZTF23abqwepf,,,,,18.1525,2023-11-13T13:03:39.000968,1.0,1.0,,,SN,2.71,,18.1525,19.7229,19.5416,0.18,0.00291667,60261.5,60261.5,210.1829743,19.1130847
2023xrn,ZTF23abqqwvl,,,,19.2581,,2023-11-13T07:37:21.996475,1.0,1.0,,,SN,0.27,19.2581,,19.3361,18.9212,0.41,0.0025,60261.3,60261.3,47.2235376,18.529772
2023xrq,ZTF23abqogid,,0.26,0.17,20.2066,20.0388,2023-11-15T03:25:55.001258,2.0,2.0,rising/peak,,SN,4.69,20.2066,20.0388,21.9846,-999.0,1020.98,0.5,60259.2,60263.1,345.00071983333333,12.7566076
2023xru,ZTF23abqedqb,,0.1,-0.1,20.1989,20.2961,2023-11-13T10:52:58.002220,2.0,2.0,,,SN,1.11,20.1989,20.2088,21.7271,21.3471,0.38,0.00333333,60259.4,60261.5,70.97739637500001,-5.65530265
2023xrv,ZTF23abqcjaa,,0.19,-0.04,20.3417,20.3771,2023-11-13T05:00:04.999664,2.0,2.0,rising/peak,,SN,4.47,20.3417,20.3771,19.7956,18.6162,1.18,0.0292917,60259.2,60261.2,10.353485300000001,22.620013566666668
2023xrw,ZTF23abpzyrr,,,,,19.0234,2023-11-13T13:04:19.997772,5.0,5.0,,,SN,0.4,,19.0234,19.3396,18.6333,0.71,0.000833333,60258.5,60261.5,197.71408754285716,11.055739957142858
2023xsc,ZTF23abqvaxi,,,,19.1401,,2023-11-13T11:26:27.000938,1.0,1.0,,,SN,0.78,19.1401,,21.0081,20.087,0.92,0.00125,60257.5,60261.5,150.13286060000001,-0.44918749999999996
2023xsd,ZTF23abqezlx,,,,19.7786,,2023-11-13T11:08:48.998390,1.0,1.0,,,SN,3.22,19.6741,,18.3532,17.7171,0.64,0.006875,60259.4,60261.5,116.1303549,25.51342565
