TNS_ID,ZTF_ID,type,g_minus_r_mean,g_minus_r_latest,g,r,latest_utc,N_obs,N_obs_14_day,rising,fading,sherlock,offsetArcsec,g_max,r_max,g_host,r_host,g_minus_r_host,sg_score,disc_mjd,latest_mjd,ra,decl
2018mll,ZTF18abuiwyz,,0.02,-0.13,19.8696,20.0037,2023-12-18T06:22:38.000640,,,,fading,SN,0.59,19.7758,19.6089,21.5275,21.5515,-0.02,0.0192857,60268.2,60296.3,33.96518714285714,-1.436029342857143
2018mlm,ZTF18abtrrke,,,,19.9376,,2023-12-12T05:08:06.999343,,,,,SN,3.1,19.8491,,21.0497,-999.0,1020.05,0.5,60260.2,60290.2,20.18318892,12.72989822
2018mlp,ZTF18abdezft,,-0.1,-0.08,19.482,19.5616,2023-12-13T10:47:31.004158,5.0,5.0,,fading,NT,1.5,19.2785,19.5243,19.0938,18.173,0.92,0.00541667,60287.4,60291.4,171.57611195,58.594020425
2019aatz,ZTF19aakzbew,,,,19.7802,,2023-12-13T11:06:13.003181,1.0,1.0,,,AGN,0.22,19.7802,,19.583,19.0377,0.55,0.0669167,60287.5,60291.5,168.4948293,14.2281197
2020afgt,ZTF20aagiqbc,,0.28,0.28,20.0499,19.7713,2023-12-13T12:51:00.996475,2.0,2.0,rising/peak,,NT,0.33,20.0499,19.7713,19.7629,18.8068,0.96,0.0445833,60291.5,60291.5,221.50053675,56.38789265
2022aera,ZTF22abeiexo,,,,19.6566,,2023-12-13T05:01:28.004165,2.0,2.0,,,AGN,0.71,19.6168,,18.4223,18.1397,0.28,0.00291667,60289.2,60291.2,54.80563965,-26.6134468
2023zuf,ZTF23abtpjik,,-0.34,-0.47,20.38,20.8481,2023-12-13T04:32:24.996475,2.0,2.0,,,SN,1.58,20.38,20.7146,-999.0,-999.0,0.0,0.0158036,60287.1,60291.2,13.569047279999998,19.60405804
2023zuj,ZTF23absektm,,-0.16,-0.27,19.3243,19.5956,2023-12-17T06:30:22.003196,3.0,3.0,rising/peak,,SN,4.16,19.3243,19.5956,-999.0,22.2242,-1021.22,0.0147798,60287.1,60295.3,19.753303766666665,4.914418216666667
2023zum,ZTF23abtcuio,,0.26,-0.07,19.5092,19.5815,2023-12-13T05:58:44.002548,2.0,2.0,rising/peak,,SN,4.15,19.5092,19.5815,18.5644,18.0752,0.49,0.186137,60289.2,60291.2,26.48176213333333,33.77957626666667
2023zun,ZTF23abmwmsm,,0.3,0.41,20.1428,19.7349,2023-12-13T03:13:58.002250,4.0,2.0,,,SN,0.98,20.1033,19.7349,20.3349,19.824,0.51,0.00625,60261.2,60291.1,18.484588766666665,31.87034671666667
2023zup,ZTF23abselrx,,0.64,0.94,20.5632,19.6227,2023-12-13T02:38:33.996475,3.0,3.0,,fading,SN,0.09,20.1565,19.521,20.1883,19.475,0.71,0.00958333,60287.1,60291.1,359.71870996666667,15.24543325
2023zur,ZTF19aaneglm,,0.48,0.48,20.0221,19.5436,2023-12-10T09:46:07.003219,2.0,2.0,rising/peak,,VS,0.6,20.0221,19.5436,19.4114,18.6052,0.81,0.0347917,60287.2,60288.4,79.31985800000001,8.0610106
2023zur,ZTF23abtqfhx,,0.67,0.83,20.4583,19.6295,2023-12-16T06:56:09.997451,9.0,9.0,,fading,VS,0.72,20.0221,19.2789,19.4114,18.6052,0.81,0.0347917,60287.2,60294.3,79.31985158333333,8.060984983333334
2023zut,ZTF23absouua,,0.26,0.05,18.3429,18.2937,2023-12-18T11:07:03.996467,11.0,11.0,rising/peak,,AGN,1.68,18.3429,18.2937,-999.0,18.8666,-1017.87,0.5,60289.4,60296.5,122.38706205384614,11.19780026153846
2023zuu,ZTF23abtnaor,,,,19.8227,,2023-12-12T12:27:33.998390,1.0,1.0,,fading,SN,3.88,19.3792,,18.5733,17.9259,0.65,0.0309167,60287.5,60290.5,201.35572665,13.4116088
2023zux,ZTF23abtbrkh,,-0.46,-0.42,19.8189,20.2408,2023-12-12T03:10:56.000625,2.0,2.0,rising/peak,,NT,1.5,19.8189,20.2408,20.8537,-999.0,1019.85,0.5,60284.1,60290.1,332.310227,1.7863182666666668
2023zvc,ZTF23abryovm,,,,,19.8911,2023-12-12T03:13:39.996475,2.0,2.0,,fading,SN,0.08,,19.6469,19.9302,19.4425,0.49,0.0233333,60284.1,60290.1,326.5161032,14.17967995
2023zvd,ZTF23abrynbv,,,,,20.3365,2023-12-12T03:30:07.997756,1.0,1.0,,,SN,1.23,,20.3365,21.6138,21.0084,0.61,0.005625,60285.2,60290.1,353.7149932,27.228636700000003
2023zve,ZTF23abryfjb,,0.15,0.15,20.3459,20.1915,2023-12-12T03:30:07.997756,1.0,1.0,rising/peak,,SN,1.42,20.3459,20.1915,19.5287,18.5918,0.94,0.0184167,60288.1,60290.1,352.70600835000005,28.3687531
2023zvp,ZTF23abtnjdn,,,,,19.6311,2023-12-14T13:28:32.001602,14.0,14.0,,,NT,0.93,,19.5044,18.8719,18.7762,0.1,0.0605417,60290.5,60292.6,211.23872031428573,-1.839312185714286
