TNS_ID,ZTF_ID,type,g_minus_r_mean,g_minus_r_latest,g,r,latest_utc,N_obs,N_obs_14_day,rising,fading,sherlock,offsetArcsec,g_max,r_max,g_host,r_host,g_minus_r_host,sg_score,disc_mjd,latest_mjd,ra,decl
2023abvz,ZTF23absdhha,,0.05,0.01,20.0075,19.9953,2023-12-18T10:06:57.003837,1,1,rising/peak,,SN,2.23,20.0075,19.9953,-999.0,22.2854,-1021.29,0.049375,60287.3,60296.4,127.751565125,13.035801125
2023abvn,ZTF23abubqax,,0.02,0.12,20.9633,20.8433,2023-12-15T11:54:34.004142,1,1,,fading,SN,1.39,20.7513,20.8433,21.8448,21.1861,0.66,0.0103333,60292.3,60293.5,113.10539805,41.985321425
2023abtk,ZTF23abvnhfx,,,,18.7632,,2023-12-27T04:09:28.998710,1,1,,,SN,2.07,18.7632,,18.9246,18.6006,0.32,0.00125,60305.2,60305.2,30.110711,21.1659214
2023abts,ZTF23abtmnii,,,,20.2047,,2023-12-12T11:32:55.999671,1,1,,,SN,1.82,20.2047,,18.9722,18.0044,0.97,0.042,60290.5,60290.5,143.305594,-7.3869665
2023abud,ZTF23abofmrg,,,,,20.0678,2023-11-02T05:57:30.000976,1,1,,,SN,0.77,,20.0678,21.2261,21.0769,0.15,,60250.2,60250.2,355.5421445,12.8809579
2023abun,ZTF23abvbqsd,,,,,18.1681,2023-12-28T13:32:52.998741,5,5,,fading,SN,4.46,,17.4114,-999.0,-999.0,0.0,0.5,60295.6,60306.6,240.12488207777776,14.502448188888886
2023abuo,ZTF23abvbqrz,,,,,16.9362,2023-12-28T13:32:52.998741,5,5,,,SN,4.58,,16.9221,21.2158,21.7196,-0.5,0.5,60295.6,60306.6,241.3838981555556,14.264712644444444
2023abur,ZTF23abvsdsu,,,,,19.2415,2023-12-28T13:18:31.003211,1,1,,,SN,2.82,,19.2415,18.9446,18.3664,0.58,0.0223333,60290.6,60306.6,239.7534332,12.7434263
2023abuy,ZTF23abvsfen,,,,,19.1088,2023-12-28T13:25:01.004158,2,2,,,SN,1.37,,19.1088,18.7963,18.249,0.55,0.0578333,60306.6,60306.6,251.2626262,16.5799162
2023abva,ZTF23abvsdrp,,,,,19.0728,2023-12-28T13:28:37.004150,3,3,,,SN,5.02,,19.0728,-999.0,19.779,-1018.78,0.5,60306.6,60306.6,254.6800598,17.906890633333333
2023abvb,ZTF23abvsdqv,,,,,18.5078,2023-12-28T13:32:52.998741,5,5,,,NT,1.04,,18.3736,18.8698,18.1296,0.74,0.00354167,60306.6,60306.6,242.26009754,9.32633052
2023abvl,ZTF23absjhcx,,,,,19.4115,2023-12-09T12:33:31.003211,1,1,,,NT,1.43,,19.4115,19.5558,18.738,0.82,0.00333333,60287.5,60287.5,181.8436854,11.4016313
2023abvt,ZTF23abufrig,,,,21.1194,,2023-12-14T12:26:11.996139,1,1,,fading,SN,0.87,20.025,,21.1674,20.3929,0.77,0.00166667,60292.5,60292.5,136.46355075,45.49854775
