TNS_ID,objectId,type,g_minus_r_mean,g_minus_r_latest,g,r,latest_utc,N_obs,N_obs_14_day,rising,fading,sherlock,offsetArcsec,g_max,r_max,g_host,r_host,g_minus_r_host,sg_score,disc_mjd,latest_mjd,ra,decl
2021aiat,ZTF21aahbwfj,,-0.17,-0.12,19.5394,19.658,2023-12-13T10:02:07.995834,5,3,,,AGN,0.15,19.3829,19.5421,19.3809,18.8695,0.51,0.0205417,60262.4,60291.4,135.59196135000002,9.364668183333334
2023zdx,ZTF23absjgxb,SN IIP,-0.09,-0.03,17.1308,17.1563,2023-12-13T11:23:39.998390,3,3,,,SN,6.84,17.0133,17.1563,18.9417,18.672,0.27,0.202292,60287.5,60291.5,216.90282567500003,41.25970555
2023zef,ZTF23absapsv,SN Ia,0.03,0.13,18.6915,18.5584,2023-12-13T04:02:00.003845,5,5,,,SN,1.57,18.5768,18.5584,19.7211,19.0979,0.62,0.0269167,60285.1,60291.2,1.545405,-11.119607085714287
2023zej,ZTF23abrrsrv,,0.5,0.55,20.3363,19.7831,2023-12-13T03:46:49.002227,3,3,rising/peak,,SN,0.64,20.3363,19.7749,19.274,18.8083,0.47,0.00516667,60268.2,60291.2,29.338050275,27.5852636
2023zek,ZTF23absbill,,0.21,0.47,19.9259,19.4525,2023-12-18T08:26:28.003189,9,9,,fading,SN,0.24,19.4469,19.4525,19.4582,19.0032,0.45,0.00125,60287.2,60296.4,94.10807625333332,84.51721396
2023zel,ZTF23absbimi,,0.58,0.53,19.9938,19.4664,2023-12-15T12:22:08.002571,5,5,,,SN,3.38,19.8589,19.3663,-999.0,20.0096,-1019.01,0.5,60287.2,60293.5,116.61600555555556,84.09059173333333
2023zem,ZTF23absgcqv,,0.0,0.49,18.3149,17.8283,2023-12-27T05:03:03.000953,8,3,,fading,VS,0.99,17.8111,17.8283,18.4837,17.7601,0.72,0.0116667,60287.2,60305.2,81.71104162222223,-15.914508733333331
2023zeo,ZTF23absfpxo,,0.45,0.44,19.7919,19.3532,2023-12-13T03:51:40.999671,3,3,,,SN,3.18,19.7429,19.2864,18.8617,18.5507,0.31,0.056875,60287.2,60291.2,46.643736475,-2.34561175
2023zep,ZTF23absbqti,,0.25,0.04,18.9196,18.8794,2023-12-17T06:41:57.998413,11,11,,fading,SN,1.44,18.5503,18.2757,17.9772,17.4911,0.49,0.03275,60285.2,60295.3,50.84978168333333,-12.524348566666664
2023zeu,ZTF18abqtnbk,SN Ic-BL,0.21,0.44,18.5071,18.0719,2023-12-13T04:25:51.997444,6,6,rising/peak,,NT,1.24,18.5071,18.0719,19.0004,18.9583,0.04,,60287.1,60291.2,24.20521948333333,1.5849268666666667
2023zev,ZTF23abseutx,,-0.1,0.12,18.8226,18.7047,2023-12-28T03:01:34.996788,8,2,,fading,SN,0.06,18.5342,18.7047,20.9682,20.4326,0.54,0.00541667,60287.2,60306.1,28.720629325,11.576532925
2023zew,ZTF23absguth,SN Ia,0.06,0.16,16.7838,16.619,2023-12-18T10:41:05.997108,4,4,rising/peak,,SN,2.25,16.7823,16.619,-999.0,-999.0,0.0,0.5,60287.3,60296.4,99.21619407777776,37.57007665
2023zff,ZTF23abscolz,SN Ic-BL,0.11,0.21,20.0344,19.8224,2023-12-18T11:21:38.001579,10,10,,fading,SN,12.63,19.6672,19.5075,20.7322,20.3442,0.39,0.001875,60287.3,60296.5,136.0033064,41.26705707272728
2023zfh,ZTF23absdnkt,,0.06,-0.14,19.8598,20.0,2023-12-18T11:37:57.000015,9,9,,fading,NT,0.56,19.7193,19.5594,19.0492,18.7345,0.31,0.00291667,60287.4,60296.5,153.37931836363634,40.182120454545455
2023zfj,ZTF23absbygq,SN Ia,0.06,0.06,18.9852,18.9302,2023-12-18T11:16:52.000320,16,16,rising/peak,,NT,0.42,18.9842,18.9302,19.7071,19.2712,0.44,0.126976,60287.3,60296.5,116.29294352499998,48.6892867
