TNS_ID,ZTF_ID,type,g_minus_r_mean,g_minus_r_latest,g,r,latest_utc,N_obs,N_obs_14_day,rising,fading,sherlock,offsetArcsec,g_max,r_max,g_host,r_host,g_minus_r_host,sg_score,disc_mjd,latest_mjd,ra,decl
2018mlg,ZTF18acdvmdh,,,,,19.0902,2023-11-15T10:15:57.003845,1.0,1.0,,,NT,0.53,,19.0902,18.444,17.7379,0.71,0.0507083,60252.4,60263.4,144.65133045,37.66725745
2018mlh,ZTF18aaigblu,,0.06,0.16,18.0763,17.9192,2023-11-15T11:55:43.003204,1.0,1.0,rising/peak,,NT,0.36,18.0763,17.9192,16.9761,16.3726,0.6,0.202071,60234.5,60263.5,172.39298936666668,21.725717566666663
2022aeqy,ZTF22abrfves,,1.54,1.59,20.3502,18.7602,2023-11-15T02:58:21.996467,,,rising/peak,,SN,4.16,20.3502,18.7602,21.9126,21.3236,0.59,,60244.2,60263.1,258.32159308,44.07693020000001
2023xuo,ZTF23abrelet,,,,20.4952,,2023-11-14T10:52:28.997749,1.0,1.0,,,SN,0.31,20.4952,,-999.0,22.0424,-1021.04,0.013,60258.4,60262.5,135.34137006666666,59.08077840000001
2023xuq,ZTF23abqynqz,,-0.06,-0.23,20.1497,20.3798,2023-11-14T06:15:30.000953,3.0,3.0,rising/peak,,SN,0.48,20.1497,20.3798,21.6788,21.5596,0.12,0.0025,60258.3,60262.3,26.36140266,17.497053899999997
2023xur,ZTF23abqyhww,,0.99,0.76,20.4122,19.6558,2023-11-20T04:34:44.999053,2.0,2.0,rising/peak,,SN,0.63,20.4122,19.6558,21.0577,20.6281,0.43,0.0140833,60260.2,60268.2,23.5514111,-3.6861514
2023xus,ZTF23abqyfbp,,,,20.246,,2023-11-14T05:04:21.996459,1.0,1.0,,,SN,0.4,20.246,,21.2325,20.7692,0.46,,60262.2,60262.2,23.7242709,-7.0186981
2023xut,ZTF23abqwpkj,,0.37,0.72,20.1821,19.4603,2023-12-07T02:48:34.001266,2.0,1.0,,fading,SN,16.85,19.215,19.4603,21.2008,20.8603,0.34,0.00333333,60262.2,60285.1,340.71819975,12.769960125
2023xuu,ZTF23abqwnij,,,,20.3333,,2023-11-14T05:23:01.999679,1.0,1.0,,,SN,0.95,20.3333,,21.9545,21.9203,0.03,0.005,60260.2,60262.2,0.51118535,-3.84430915
2023xuw,ZTF23abqhejv,,-0.3,-0.26,20.1909,20.4488,2023-11-14T05:23:01.999679,2.0,2.0,,,SN,0.21,20.1004,20.4488,20.8543,20.4966,0.36,,60260.2,60262.2,2.0758844,-1.046988466666667
