TNS_ID,objectId,type,g_minus_r_mean,g_minus_r_latest,g,r,latest_utc,N_obs,N_obs_14_day,rising,fading,sherlock,offsetArcsec,g_max,r_max,g_host,r_host,g_minus_r_host,sg_score,disc_mjd,latest_mjd,ra,decl
2023aaad,ZTF18aaaiziz,,0.06,-0.0,19.7246,19.7257,2023-12-16T10:58:49.002250,4,4,rising/peak,,NT,1.5,19.6468,19.7257,18.9431,18.0289,0.91,0.01525,60291.4,60294.5,125.44824504285712,17.79178767142857
2023aaad,ZTF23abttmzm,,-0.01,-0.13,19.5944,19.7257,2023-12-18T11:07:43.999671,5,5,rising/peak,,AGN,1.98,19.4437,19.7257,18.9431,18.0289,0.91,0.01525,60291.4,60296.5,125.44822514444442,17.791781288888888
2023aaaf,ZTF23abtubac,,0.2,0.2,20.1329,19.934,2023-12-13T11:07:34.003181,1,1,rising/peak,,SN,0.25,20.1329,19.934,20.7979,20.4927,0.31,0.0460625,60287.4,60291.5,173.37037725,13.0593662
2023aaag,ZTF23abtuahp,,,,20.1848,,2023-12-13T11:02:45.997421,1,1,,fading,SN,0.31,19.8406,,21.2954,20.869,0.43,0.00125,60287.4,60291.5,143.99783355,0.6792752
2023aaah,ZTF23abtpbwu,,0.43,0.35,20.5119,20.1603,2023-12-13T04:29:15.996498,2,2,,fading,SN,1.09,20.3645,19.8578,20.6492,19.9951,0.65,0.01275,60287.2,60291.2,37.411940875,1.6104518250000002
2023aaai,ZTF23abtatto,,,,20.0722,,2023-12-13T04:32:24.996475,1,1,,,SN,0.69,20.0722,,21.7785,21.7271,0.05,0.0361607,60287.2,60291.2,19.309599466666665,17.6736227
2023aaaj,ZTF23abstvwb,,0.53,0.57,20.5752,20.0052,2023-12-13T05:47:14.997108,1,1,,,SN,0.56,20.5045,20.0052,20.1381,18.9521,1.19,0.038375,60287.2,60291.2,77.9002593,48.114417366666665
2023aaak,ZTF23absqjsa,,0.02,-0.12,20.2307,20.3461,2023-12-18T11:20:56.002578,1,1,,fading,SN,0.62,19.9629,19.9215,21.6278,21.957,-0.33,,60287.3,60296.5,141.36592198000002,51.22228858666666
2023aaal,ZTF23absjgbk,,,,20.1778,,2023-12-13T11:19:24.997436,1,1,,,SN,2.36,20.1778,,21.8284,21.6899,0.14,0.00125,60287.5,60291.5,174.1397346,38.0276608
2023aaam,ZTF23absjfry,,,,20.4337,,2023-12-13T11:38:22.997741,1,1,,,SN,0.59,20.4264,,21.6323,21.0104,0.62,,60287.5,60291.5,179.65753035,32.9215725
2023aaan,ZTF23absjfmp,,,,20.3012,,2023-12-13T11:42:27,1,1,,,SN,2.52,20.1528,,-999.0,19.9253,-1018.93,0.5,60287.5,60291.5,186.37658465,37.6158012
2023aaao,ZTF23absjeul,,,,20.1441,,2023-12-13T11:37:42.000938,1,1,,,SN,2.77,20.1441,,21.3484,20.4413,0.91,0.004,60287.5,60291.5,171.34462423333335,30.95175903333333
2023aaaq,ZTF23absinvk,,,,19.9812,,2023-12-13T10:47:31.004158,1,1,,fading,SN,1.49,19.6102,,21.6721,21.2979,0.37,,60287.4,60291.4,169.7682029,55.69487415
2023aaar,ZTF23absdzrj,,,,20.292,,2023-12-13T10:44:49.004150,1,1,,,SN,3.13,20.1349,,20.9904,-999.0,1019.99,0.5,60287.5,60291.4,154.3560045,47.520859433333335
2023aaat,ZTF23abrmhes,,,,20.3512,,2023-12-13T11:42:27,1,1,,fading,SN,0.84,20.0638,,20.8571,20.4016,0.46,0.0482083,60287.5,60291.5,186.1662008,37.2898033
2023aaau,ZTF23aaowohw,,,,20.4392,,2023-12-13T11:20:46.999687,1,1,,,SN,61.28,20.4392,,20.7367,20.3738,0.36,,60287.5,60291.5,173.0366522,45.0028018
2023aaav,ZTF23aaefuqe,,,,20.8276,,2023-04-12T06:17:27.003852,1,1,,,SN,0.11,20.8276,,21.649,21.627,0.02,0.137417,60046.3,60046.3,181.1866994,51.2960511
2023aaav,ZTF23aafkpts,,,,20.3736,,2023-12-13T11:21:27.996490,1,1,,,SN,0.04,20.2068,,21.649,21.627,0.02,0.137417,60287.4,60291.5,181.1867514,51.29602906666667
2023aaba,ZTF23abtupaa,,,,,19.9492,2023-12-13T12:50:21.001922,1,1,,,SN,0.34,,19.9492,21.1589,20.7191,0.44,,60291.5,60291.5,240.751761,61.527019
2023aabb,ZTF23abtuozx,,,,,18.6277,2023-12-13T12:50:21.001922,1,1,,,SN,5.09,,18.6277,19.5269,19.6844,-0.16,0.5,60291.5,60291.5,234.3340898,61.0863708
2023aabf,ZTF23abtuglk,,,,20.0561,,2023-12-13T11:59:57.001907,1,1,,,SN,0.53,20.0561,,21.2783,21.0273,0.25,0.00166667,60291.5,60291.5,194.6405585,15.8849996
2023aabg,ZTF23abtugkb,,,,19.775,,2023-12-13T11:59:16.998703,1,1,,,SN,2.06,19.775,,18.3184,17.5985,0.72,0.00645833,60291.5,60291.5,194.1440415,23.6197563
2023aabh,ZTF23abtugir,,,,19.2943,,2023-12-13T11:55:12.002891,1,1,,,SN,2.3,19.2943,,18.1574,17.6762,0.48,0.0489583,60291.5,60291.5,210.7013232,29.0120946
2023aabi,ZTF23abtugim,,,,20.344,,2023-12-13T11:55:52.999687,1,1,,fading,VS,0.63,19.9808,,20.7028,20.1166,0.59,0.00333333,60287.5,60291.5,201.09776215,33.90779365
2023aabj,ZTF23abtughx,,,,19.6029,,2023-12-13T11:57:54.996490,1,1,,,SN,5.16,19.6029,,20.0556,-999.0,1019.06,0.5,60291.5,60291.5,209.7366023,13.2467304
2023aabk,ZTF23abtuggc,,,,20.2738,,2023-12-13T11:53:09.997436,1,1,,,SN,1.43,20.2738,,20.0733,19.0964,0.98,0.0196667,60291.5,60291.5,206.9492634,44.1129457
2023aabl,ZTF23abtuffw,,,,19.9711,,2023-12-13T11:34:19.004173,1,1,,,SN,1.24,19.9711,,20.3454,20.4195,-0.07,0.00808333,60291.5,60291.5,178.2779512,18.5107327
2023aabm,ZTF23abtublq,,-0.23,-0.23,19.8793,20.112,2023-12-13T11:08:14.999984,1,1,rising/peak,,SN,1.38,19.8793,20.112,21.6378,21.0493,0.59,0.000833333,60287.5,60291.5,178.16081345,13.14054985
2023aabn,ZTF23abtawjy,,,,,18.8431,2023-12-13T02:56:37.996788,1,1,,,SN,2.74,,18.8431,18.2991,17.5521,0.75,0.0170833,60291.1,60291.1,339.321419,-23.9723702
2023aabo,ZTF23absqoda,,,,20.408,,2023-12-13T11:55:52.999687,1,1,,,SN,4.0,20.408,,21.572,21.3593,0.21,0.00354167,60287.5,60291.5,199.8380214,31.684126050000003
2023aabp,ZTF23absqnqg,,,,19.9417,,2023-12-13T11:29:10.996795,1,1,,,SN,0.49,19.9417,,20.9843,20.2653,0.72,,60291.5,60291.5,187.1300109,9.8968495
2023aabq,ZTF23absjgwo,,,,19.8889,,2023-12-13T11:55:12.002891,1,1,,,SN,1.79,19.751,,20.4488,19.7087,0.74,0.004125,60287.5,60291.5,210.2755669,23.124463
2023aabs,ZTF18aasvydn,,,,19.3909,,2023-12-13T11:38:22.997741,1,1,,,NT,0.16,19.3909,,19.5656,19.407,0.16,0.00604167,60291.5,60291.5,180.8937444,29.9089158
2023aacc,ZTF23absdeiy,,0.11,0.28,20.2698,19.9858,2023-12-18T11:18:14.002571,2,2,,fading,SN,6.08,19.89,19.9858,20.0498,19.4459,0.6,0.00125,60287.3,60296.5,126.56993346666668,52.386475066666655
2023aacf,ZTF23abtehbu,,0.44,0.37,20.0407,19.6716,2023-12-17T04:15:58.999694,2,2,,fading,SN,0.86,19.8322,19.5781,19.8163,18.7606,1.06,0.0174167,60290.2,60295.2,37.809044925,44.836720975
2023zyv,ZTF23abtnnhk,,,,,19.9316,2023-12-12T13:22:11.003509,1,1,,,SN,0.24,,19.823,21.5745,21.0994,0.48,0.00833333,60290.5,60290.6,213.2556101,0.6568288250000001
2023zyw,ZTF23abtnhdq,,0.51,0.51,20.4701,19.9563,2023-12-12T12:57:44.000640,1,1,rising/peak,,SN,0.42,20.4701,19.9563,21.668,21.4866,0.18,0.00541667,60290.5,60290.5,222.0708309,29.9536591
2023zyx,ZTF23abtmzus,,,,19.4494,,2023-12-12T12:27:33.998390,1,1,,,NT,0.6,19.4494,,18.7157,18.0345,0.68,0.00833333,60290.5,60290.5,198.6657984,10.8641271
2023zzc,ZTF23abtbnhk,,-0.01,-0.01,19.1441,19.1528,2023-12-12T03:12:17.000625,2,2,rising/peak,,SN,1.64,19.1441,19.1528,18.4406,17.7306,0.71,0.0479167,60290.1,60290.1,325.52345225,-10.31763445
2023zzd,ZTF23abtbjeb,,,,19.0456,,2023-12-12T02:35:39.001930,1,1,,,SN,3.51,19.0456,,18.3571,17.8951,0.46,0.0416726,60290.1,60290.1,355.2296296,-13.7704962
2023zzg,ZTF23abhhvvl,,,,,19.5787,2023-12-28T13:26:22.997756,9,6,,fading,SN,2.18,,19.1499,20.125,19.8089,0.32,0.5,60290.6,60306.6,231.70709361333329,6.714401866666667
2023zzi,ZTF23abtxmmt,SN Ia,0.28,0.2,17.0925,16.8905,2023-12-27T05:30:11.001617,5,5,rising/peak,,SN,2.53,17.0925,16.8905,-999.0,-999.0,0.0,0.5,60292.1,60305.2,43.696627212500005,15.59010555
2023zzp,ZTF23abtjdxc,,,,,18.7403,2023-12-18T10:40:19.004165,4,4,,,SN,4.49,,18.7403,21.1338,-999.0,1020.13,0.5,60291.4,60296.4,120.6556801,40.3884964
2023zzt,ZTF18aavrjtq,,,,17.635,,2023-12-13T11:25:46.004142,3,2,,,AGN,0.11,17.635,,16.7455,16.6624,0.08,0.626205,60263.5,60291.5,187.12862840000005,28.236579266666663
2023zzt,ZTF22aaevvsp,,,,,17.5815,2023-10-31T12:50:18.997421,7,7,,,AGN,0.44,,17.4312,16.7455,16.6624,0.08,0.626205,60241.5,60248.5,187.1286343,28.236661328571422
